time(ns) rmsd
0.000000000000000000e+00 0.000000000000000000e+00
1.000166694449074883e-01 1.657442003488540649e-01
2.000333388898149767e-01 1.861412376165390015e-01
3.000500083347224511e-01 1.882251054048538208e-01
4.000666777796299534e-01 1.866450756788253784e-01
5.000833472245374001e-01 1.922840476036071777e-01
6.001000166694449023e-01 2.167488634586334229e-01
7.001166861143524045e-01 2.218517363071441650e-01
8.001333555592599067e-01 2.152248769998550415e-01
9.001500250041674089e-01 1.877973079681396484e-01
1.000166694449074800e+00 1.905156970024108887e-01
1.100183363893982413e+00 1.950614601373672485e-01
1.200200033338889805e+00 1.990370601415634155e-01
1.300216702783797418e+00 2.082110494375228882e-01
1.400233372228704809e+00 2.021129578351974487e-01
1.500250041673612422e+00 2.460806965827941895e-01
1.600266711118519813e+00 2.377104610204696655e-01
1.700283380563427205e+00 2.878342866897583008e-01
1.800300050008334818e+00 3.220785558223724365e-01
1.900316719453242209e+00 3.095988333225250244e-01
2.000333388898149600e+00 3.079183995723724365e-01
2.100350058343057214e+00 3.265569210052490234e-01
2.200366727787964827e+00 3.106272816658020020e-01
2.300383397232872440e+00 3.410189449787139893e-01
2.400400066677779609e+00 2.864109873771667480e-01
2.500416736122687222e+00 2.983417809009552002e-01
2.600433405567594836e+00 3.231521844863891602e-01
2.700450075012502005e+00 3.183997273445129395e-01
2.800466744457409618e+00 3.289428651332855225e-01
2.900483413902317231e+00 3.744292557239532471e-01
3.000500083347224844e+00 3.808507621288299561e-01
3.100516752792132014e+00 3.738825321197509766e-01
3.200533422237039627e+00 4.208421707153320312e-01
3.300550091681947240e+00 4.175972044467926025e-01
3.400566761126854409e+00 3.938306570053100586e-01
3.500583430571762023e+00 3.747333586215972900e-01
3.600600100016669636e+00 3.879479467868804932e-01
3.700616769461577249e+00 3.305557966232299805e-01
3.800633438906484418e+00 3.181894123554229736e-01
3.900650108351392031e+00 3.775071203708648682e-01
4.000666777796299201e+00 3.972054123878479004e-01
4.100683447241206814e+00 3.466842174530029297e-01
4.200700116686114427e+00 3.403229415416717529e-01
4.300716786131022040e+00 4.139866828918457031e-01
4.400733455575929653e+00 3.954093456268310547e-01
4.500750125020837267e+00 4.331866204738616943e-01
4.600766794465744880e+00 3.935590386390686035e-01
4.700783463910651605e+00 3.346625268459320068e-01
4.800800133355559218e+00 3.504667878150939941e-01
4.900816802800466832e+00 3.576690256595611572e-01
5.000833472245374445e+00 3.592215776443481445e-01
5.100850141690282058e+00 3.798545598983764648e-01
5.200866811135189671e+00 3.659088015556335449e-01
5.300883480580097284e+00 3.312695324420928955e-01
5.400900150025004010e+00 2.895509898662567139e-01
5.500916819469911623e+00 3.118909001350402832e-01
5.600933488914819236e+00 3.206970691680908203e-01
5.700950158359726849e+00 4.080231189727783203e-01
5.800966827804634462e+00 3.600295782089233398e-01
5.900983497249542076e+00 3.601367473602294922e-01
6.001000166694449689e+00 3.477086126804351807e-01
6.101016836139356414e+00 3.521356284618377686e-01
6.201033505584264027e+00 3.521884083747863770e-01
