time(ns) rmsd
0.000000000000000000e+00 0.000000000000000000e+00
5.000833472245374417e-02 1.657442003488540649e-01
1.000166694449074883e-01 1.861412376165390015e-01
1.500250041673612256e-01 1.882251054048538208e-01
2.000333388898149767e-01 1.866450756788253784e-01
2.500416736122687000e-01 1.922840476036071777e-01
3.000500083347224511e-01 2.167467176914215088e-01
3.500583430571762023e-01 2.218517363071441650e-01
4.000666777796299534e-01 2.152248769998550415e-01
4.500750125020837045e-01 1.877973079681396484e-01
5.000833472245374001e-01 1.905156970024108887e-01
5.500916819469912067e-01 1.950614601373672485e-01
6.001000166694449023e-01 1.990370601415634155e-01
6.501083513918987089e-01 2.082110494375228882e-01
7.001166861143524045e-01 2.021129578351974487e-01
7.501250208368062111e-01 2.460806965827941895e-01
8.001333555592599067e-01 2.377104610204696655e-01
8.501416902817136023e-01 2.878342866897583008e-01
9.001500250041674089e-01 3.220785558223724365e-01
9.501583597266211045e-01 3.095988333225250244e-01
1.000166694449074800e+00 3.079183995723724365e-01
1.050175029171528607e+00 3.265583217144012451e-01
1.100183363893982413e+00 3.106257617473602295e-01
1.150191698616436220e+00 3.410189449787139893e-01
1.200200033338889805e+00 2.864109873771667480e-01
1.250208368061343611e+00 2.983417809009552002e-01
1.300216702783797418e+00 3.231521844863891602e-01
1.350225037506251002e+00 3.183997273445129395e-01
1.400233372228704809e+00 3.289428651332855225e-01
1.450241706951158616e+00 3.744292557239532471e-01
1.500250041673612422e+00 3.808507621288299561e-01
1.550258376396066007e+00 3.738825321197509766e-01
1.600266711118519813e+00 4.208421707153320312e-01
1.650275045840973620e+00 4.175960719585418701e-01
1.700283380563427205e+00 3.938306570053100586e-01
1.750291715285881011e+00 3.747333586215972900e-01
1.800300050008334818e+00 3.879479467868804932e-01
1.850308384730788624e+00 3.305557966232299805e-01
1.900316719453242209e+00 3.181879222393035889e-01
1.950325054175696016e+00 3.775071203708648682e-01
2.000333388898149600e+00 3.972054123878479004e-01
2.050341723620603407e+00 3.466842174530029297e-01
2.100350058343057214e+00 3.403229415416717529e-01
2.150358393065511020e+00 4.139866828918457031e-01
2.200366727787964827e+00 3.954093456268310547e-01
2.250375062510418633e+00 4.331866204738616943e-01
2.300383397232872440e+00 3.935590386390686035e-01
2.350391731955325803e+00 3.346625268459320068e-01
2.400400066677779609e+00 3.504667878150939941e-01
2.450408401400233416e+00 3.576690256595611572e-01
2.500416736122687222e+00 3.592215776443481445e-01
2.550425070845141029e+00 3.798545598983764648e-01
2.600433405567594836e+00 3.659088015556335449e-01
2.650441740290048642e+00 3.312695324420928955e-01
2.700450075012502005e+00 2.895509898662567139e-01
2.750458409734955811e+00 3.118909001350402832e-01
2.800466744457409618e+00 3.206970691680908203e-01
2.850475079179863425e+00 4.080231189727783203e-01
2.900483413902317231e+00 3.600295782089233398e-01
2.950491748624771038e+00 3.601367473602294922e-01
3.000500083347224844e+00 3.477086126804351807e-01
3.050508418069678207e+00 3.521356284618377686e-01
3.100516752792132014e+00 3.521884083747863770e-01
3.150525087514585820e+00 3.462319970130920410e-01
3.200533422237039627e+00 4.064877033233642578e-01
3.250541756959493433e+00 3.850779235363006592e-01
3.300550091681947240e+00 3.778948783874511719e-01
3.350558426404401047e+00 3.557491898536682129e-01
3.400566761126854409e+00 4.045673608779907227e-01
3.450575095849308216e+00 3.658236563205718994e-01
3.500583430571762023e+00 3.622464239597320557e-01
3.550591765294215829e+00 3.453526794910430908e-01
3.600600100016669636e+00 3.733748495578765869e-01
3.650608434739123442e+00 3.485926389694213867e-01
3.700616769461577249e+00 3.492122590541839600e-01
3.750625104184030612e+00 3.672974705696105957e-01
3.800633438906484418e+00 3.696883320808410645e-01
3.850641773628938225e+00 3.628773093223571777e-01
3.900650108351392031e+00 3.691484332084655762e-01
3.950658443073845838e+00 4.030729830265045166e-01
4.000666777796299201e+00 4.055877029895782471e-01
4.050675112518753451e+00 4.682704508304595947e-01
4.100683447241206814e+00 5.036585330963134766e-01
4.150691781963661064e+00 4.685225784778594971e-01
4.200700116686114427e+00 4.089211523532867432e-01
4.250708451408568678e+00 3.889222145080566406e-01
4.300716786131022040e+00 3.734906315803527832e-01
4.350725120853475403e+00 4.278899133205413818e-01
4.400733455575929653e+00 4.153914749622344971e-01
4.450741790298383016e+00 4.616429805755615234e-01
4.500750125020837267e+00 4.538569152355194092e-01
4.550758459743290629e+00 4.553633332252502441e-01
4.600766794465744880e+00 4.611068964004516602e-01
4.650775129188198243e+00 4.586077034473419189e-01
4.700783463910651605e+00 4.501530528068542480e-01
4.750791798633105856e+00 4.964090883731842041e-01
4.800800133355559218e+00 4.882472753524780273e-01
4.850808468078013469e+00 4.599813222885131836e-01
4.900816802800466832e+00 4.648195207118988037e-01
4.950825137522921082e+00 4.629875421524047852e-01
5.000833472245374445e+00 4.430869221687316895e-01
5.050841806967827807e+00 4.864786565303802490e-01
5.100850141690282058e+00 4.887060225009918213e-01
5.150858476412735421e+00 4.909223318099975586e-01
5.200866811135189671e+00 4.745556712150573730e-01
5.250875145857643034e+00 4.884500503540039062e-01
5.300883480580097284e+00 4.552755057811737061e-01
5.350891815302550647e+00 4.609798491001129150e-01
5.400900150025004010e+00 4.210078418254852295e-01
5.450908484747458260e+00 3.980320692062377930e-01
5.500916819469911623e+00 4.135844409465789795e-01
5.550925154192365873e+00 4.347635507583618164e-01
5.600933488914819236e+00 4.346598088741302490e-01
5.650941823637273487e+00 3.790176808834075928e-01
5.700950158359726849e+00 3.547925651073455811e-01
5.750958493082180212e+00 3.294413983821868896e-01
5.800966827804634462e+00 3.418631553649902344e-01
5.850975162527087825e+00 3.408893942832946777e-01
5.900983497249542076e+00 3.188827037811279297e-01
5.950991831971995438e+00 3.489712178707122803e-01
6.001000166694449689e+00 3.478382825851440430e-01
6.051008501416903052e+00 3.683705329895019531e-01
6.101016836139356414e+00 3.550480008125305176e-01
6.151025170861810665e+00 3.662110865116119385e-01
6.201033505584264027e+00 3.502783775329589844e-01
6.251041840306718278e+00 3.812143802642822266e-01
6.301050175029171641e+00 3.713997304439544678e-01
6.351058509751625891e+00 3.662517070770263672e-01
6.401066844474079254e+00 3.896137177944183350e-01
6.451075179196532616e+00 3.351594805717468262e-01
6.501083513918986867e+00 3.606076240539550781e-01
6.551091848641440230e+00 4.341760873794555664e-01
6.601100183363894480e+00 4.307369589805603027e-01
6.651108518086347843e+00 3.881516158580780029e-01
6.701116852808802093e+00 3.413269221782684326e-01
6.751125187531255456e+00 3.312975764274597168e-01
6.801133522253708819e+00 2.861836254596710205e-01
6.851141856976163069e+00 2.783383727073669434e-01
6.901150191698616432e+00 2.805627286434173584e-01
6.951158526421070682e+00 2.776694595813751221e-01
7.001166861143524045e+00 2.666128277778625488e-01
7.051175195865978296e+00 3.084991276264190674e-01
7.101183530588431658e+00 2.716484665870666504e-01
7.151191865310885021e+00 2.901300787925720215e-01
7.201200200033339271e+00 3.155542910099029541e-01
7.251208534755792634e+00 3.222877979278564453e-01
7.301216869478246885e+00 3.233204782009124756e-01
7.351225204200700247e+00 3.422614037990570068e-01
7.401233538923154498e+00 3.591102659702301025e-01
7.451241873645607861e+00 3.509532809257507324e-01
