time(ns) Rg
0.000000000000000000e+00 2.011034121156544785e+00
5.000833472245374417e-02 2.024554543979032672e+00
1.000166694449074883e-01 2.015533012284046244e+00
1.500250041673612256e-01 2.045394717677167851e+00
2.000333388898149767e-01 2.042163489593444403e+00
2.500416736122687000e-01 2.026137068194958868e+00
3.000500083347224511e-01 2.060926290059334143e+00
3.500583430571762023e-01 2.048104286654589767e+00
4.000666777796299534e-01 2.043161152870298647e+00
4.500750125020837045e-01 2.040548894639250932e+00
5.000833472245374001e-01 2.043078080188233780e+00
5.500916819469912067e-01 2.039504954779412849e+00
6.001000166694449023e-01 2.027684261595267490e+00
6.501083513918987089e-01 2.036043610780872370e+00
7.001166861143524045e-01 2.033402201180368074e+00
7.501250208368062111e-01 2.073104903010963174e+00
8.001333555592599067e-01 2.063721196030444460e+00
8.501416902817136023e-01 2.105603240048416147e+00
9.001500250041674089e-01 2.126734168222573551e+00
9.501583597266211045e-01 2.120248432406542705e+00
1.000166694449074800e+00 2.115499395550188844e+00
1.050175029171528607e+00 2.107408837849895633e+00
1.100183363893982413e+00 2.109509090583828961e+00
1.150191698616436220e+00 2.113720860771215904e+00
1.200200033338889805e+00 2.103586333072853254e+00
1.250208368061343611e+00 2.102410429609760989e+00
1.300216702783797418e+00 2.116562996028488630e+00
1.350225037506251002e+00 2.109440091867490708e+00
1.400233372228704809e+00 2.093014734345004513e+00
1.450241706951158616e+00 2.136402993212866086e+00
1.500250041673612422e+00 2.126311036389147091e+00
1.550258376396066007e+00 2.123224337704846754e+00
1.600266711118519813e+00 2.151165625593234321e+00
1.650275045840973620e+00 2.155756411404211814e+00
1.700283380563427205e+00 2.142246188353972958e+00
1.750291715285881011e+00 2.112906511751272198e+00
1.800300050008334818e+00 2.140842146951290825e+00
1.850308384730788624e+00 2.105887729066193703e+00
1.900316719453242209e+00 2.099375811172464523e+00
1.950325054175696016e+00 2.125021967939353384e+00
2.000333388898149600e+00 2.141413637701497397e+00
