time(ns) rmsd
0.000000000000000000e+00 0.000000000000000000e+00
5.000833472245374417e-02 1.493987292051315308e-01
1.000166694449074883e-01 1.572060585021972656e-01
1.500250041673612256e-01 1.629987359046936035e-01
2.000333388898149767e-01 1.851561814546585083e-01
2.500416736122687000e-01 2.098980695009231567e-01
3.000500083347224511e-01 2.284996062517166138e-01
3.500583430571762023e-01 2.828870117664337158e-01
4.000666777796299534e-01 2.497747391462326050e-01
4.500750125020837045e-01 2.390249818563461304e-01
5.000833472245374001e-01 2.261104136705398560e-01
5.500916819469912067e-01 2.133570760488510132e-01
6.001000166694449023e-01 2.055219411849975586e-01
6.501083513918987089e-01 2.050915658473968506e-01
7.001166861143524045e-01 2.101847529411315918e-01
7.501250208368062111e-01 1.886872798204421997e-01
8.001333555592599067e-01 2.264478802680969238e-01
8.501416902817136023e-01 2.314419299364089966e-01
9.001500250041674089e-01 2.382845133543014526e-01
9.501583597266211045e-01 2.348400056362152100e-01
1.000166694449074800e+00 2.115414142608642578e-01
1.050175029171528607e+00 2.363402098417282104e-01
1.100183363893982413e+00 2.331857383251190186e-01
1.150191698616436220e+00 2.516684234142303467e-01
1.200200033338889805e+00 2.321406304836273193e-01
1.250208368061343611e+00 2.467714697122573853e-01
1.300216702783797418e+00 2.302566766738891602e-01
1.350225037506251002e+00 2.319676429033279419e-01
1.400233372228704809e+00 2.394473552703857422e-01
1.450241706951158616e+00 2.615092098712921143e-01
1.500250041673612422e+00 2.495973259210586548e-01
1.550258376396066007e+00 2.425926923751831055e-01
1.600266711118519813e+00 2.557052373886108398e-01
1.650275045840973620e+00 2.684155702590942383e-01
1.700283380563427205e+00 3.013736605644226074e-01
1.750291715285881011e+00 2.858885526657104492e-01
1.800300050008334818e+00 2.865309715270996094e-01
1.850308384730788624e+00 2.556691467761993408e-01
1.900316719453242209e+00 2.326270788908004761e-01
1.950325054175696016e+00 2.289464324712753296e-01
2.000333388898149600e+00 2.369767874479293823e-01
2.050341723620603407e+00 2.334843277931213379e-01
2.100350058343057214e+00 2.357635945081710815e-01
2.150358393065511020e+00 2.210157662630081177e-01
2.200366727787964827e+00 2.444391399621963501e-01
2.250375062510418633e+00 2.208215147256851196e-01
2.300383397232872440e+00 2.367615401744842529e-01
2.350391731955325803e+00 2.568655610084533691e-01
2.400400066677779609e+00 2.720379829406738281e-01
2.450408401400233416e+00 2.806969881057739258e-01
2.500416736122687222e+00 2.888756692409515381e-01
2.550425070845141029e+00 2.915245294570922852e-01
2.600433405567594836e+00 2.802075445652008057e-01
2.650441740290048642e+00 2.933460772037506104e-01
2.700450075012502005e+00 3.019785583019256592e-01
2.750458409734955811e+00 2.958450019359588623e-01
2.800466744457409618e+00 2.805605232715606689e-01
2.850475079179863425e+00 2.821954190731048584e-01
2.900483413902317231e+00 2.627984285354614258e-01
2.950491748624771038e+00 2.704619765281677246e-01
3.000500083347224844e+00 2.770212888717651367e-01
3.050508418069678207e+00 2.752123475074768066e-01
3.100516752792132014e+00 2.553223967552185059e-01
3.150525087514585820e+00 2.800593078136444092e-01
3.200533422237039627e+00 2.698684930801391602e-01
3.250541756959493433e+00 3.250726461410522461e-01
3.300550091681947240e+00 2.804552614688873291e-01
3.350558426404401047e+00 2.684327661991119385e-01
3.400566761126854409e+00 3.086962699890136719e-01
3.450575095849308216e+00 3.346563279628753662e-01
3.500583430571762023e+00 3.395006358623504639e-01
3.550591765294215829e+00 3.257461786270141602e-01
3.600600100016669636e+00 2.946111261844635010e-01
3.650608434739123442e+00 3.236095011234283447e-01
3.700616769461577249e+00 3.224396705627441406e-01
3.750625104184030612e+00 2.718063592910766602e-01
3.800633438906484418e+00 2.638200521469116211e-01
3.850641773628938225e+00 2.618248164653778076e-01
3.900650108351392031e+00 2.435247600078582764e-01
3.950658443073845838e+00 2.631055116653442383e-01
4.000666777796299201e+00 2.712949216365814209e-01
4.050675112518753451e+00 2.643153965473175049e-01
4.100683447241206814e+00 2.473448216915130615e-01
4.150691781963661064e+00 2.213015854358673096e-01
4.200700116686114427e+00 2.248119115829467773e-01
4.250708451408568678e+00 2.223198264837265015e-01
4.300716786131022040e+00 2.533877491950988770e-01
4.350725120853475403e+00 2.672397792339324951e-01
4.400733455575929653e+00 2.599767446517944336e-01
4.450741790298383016e+00 2.409227192401885986e-01
4.500750125020837267e+00 2.459483295679092407e-01
4.550758459743290629e+00 2.513960003852844238e-01
4.600766794465744880e+00 2.439109832048416138e-01
4.650775129188198243e+00 2.470293641090393066e-01
4.700783463910651605e+00 2.441369295120239258e-01
4.750791798633105856e+00 2.890968024730682373e-01
4.800800133355559218e+00 2.585119605064392090e-01
4.850808468078013469e+00 2.787025868892669678e-01
4.900816802800466832e+00 2.764276862144470215e-01
4.950825137522921082e+00 2.559351921081542969e-01
5.000833472245374445e+00 2.610597610473632812e-01
5.050841806967827807e+00 2.711613774299621582e-01
5.100850141690282058e+00 2.580519616603851318e-01
5.150858476412735421e+00 2.576591968536376953e-01
5.200866811135189671e+00 2.647218108177185059e-01
5.250875145857643034e+00 2.844355404376983643e-01
5.300883480580097284e+00 2.565042376518249512e-01
5.350891815302550647e+00 2.980467975139617920e-01
5.400900150025004010e+00 2.550267577171325684e-01
5.450908484747458260e+00 2.557431161403656006e-01
5.500916819469911623e+00 2.591359019279479980e-01
5.550925154192365873e+00 2.719047963619232178e-01
5.600933488914819236e+00 2.905463278293609619e-01
5.650941823637273487e+00 2.777116298675537109e-01
5.700950158359726849e+00 2.699736058712005615e-01
5.750958493082180212e+00 2.872715592384338379e-01
5.800966827804634462e+00 2.993752062320709229e-01
5.850975162527087825e+00 3.276422321796417236e-01
5.900983497249542076e+00 2.861071527004241943e-01
5.950991831971995438e+00 2.882872819900512695e-01
6.001000166694449689e+00 3.063775300979614258e-01
6.051008501416903052e+00 3.113017380237579346e-01
6.101016836139356414e+00 3.039925396442413330e-01
6.151025170861810665e+00 3.185786604881286621e-01
6.201033505584264027e+00 3.257192373275756836e-01
6.251041840306718278e+00 2.990914583206176758e-01
6.301050175029171641e+00 3.065047860145568848e-01
6.351058509751625891e+00 3.351268172264099121e-01
6.401066844474079254e+00 3.317921459674835205e-01
6.451075179196532616e+00 3.159127235412597656e-01
6.501083513918986867e+00 3.265073299407958984e-01
6.551091848641440230e+00 2.988885343074798584e-01
6.601100183363894480e+00 2.933594584465026855e-01
6.651108518086347843e+00 3.333757817745208740e-01
6.701116852808802093e+00 3.658674061298370361e-01
6.751125187531255456e+00 3.825265765190124512e-01
6.801133522253708819e+00 3.537243306636810303e-01
6.851141856976163069e+00 3.472366333007812500e-01
6.901150191698616432e+00 3.285605311393737793e-01
6.951158526421070682e+00 3.260357081890106201e-01
7.001166861143524045e+00 3.274203538894653320e-01
7.051175195865978296e+00 3.699577152729034424e-01
7.101183530588431658e+00 3.400784134864807129e-01
7.151191865310885021e+00 3.430469334125518799e-01
7.201200200033339271e+00 3.359923958778381348e-01
7.251208534755792634e+00 3.331341743469238281e-01
7.301216869478246885e+00 3.175915479660034180e-01
7.351225204200700247e+00 3.321160078048706055e-01
7.401233538923154498e+00 3.333176374435424805e-01
7.451241873645607861e+00 3.249711394309997559e-01
7.501250208368061223e+00 3.232628703117370605e-01
7.551258543090515474e+00 3.149751424789428711e-01
7.601266877812968836e+00 3.346514999866485596e-01
7.651275212535423087e+00 3.246024847030639648e-01
7.701283547257876450e+00 3.432829082012176514e-01
7.751291881980330700e+00 3.495787084102630615e-01
7.801300216702784063e+00 3.564886748790740967e-01
7.851308551425237425e+00 3.284755647182464600e-01
7.901316886147691676e+00 3.220981955528259277e-01
7.951325220870145039e+00 3.335162401199340820e-01
8.001333555592598401e+00 3.074944615364074707e-01
8.051341890315052652e+00 2.870594561100006104e-01
8.101350225037506902e+00 3.110519051551818848e-01
8.151358559759961153e+00 2.778843641281127930e-01
8.201366894482413628e+00 3.069658279418945312e-01
8.251375229204867878e+00 3.189629614353179932e-01
8.301383563927322129e+00 3.109324574470520020e-01
8.351391898649774603e+00 3.216574192047119141e-01
8.401400233372228854e+00 2.952916026115417480e-01
8.451408568094683105e+00 2.835167050361633301e-01
8.501416902817137355e+00 2.700394093990325928e-01
8.551425237539589830e+00 2.953580021858215332e-01
8.601433572262044081e+00 2.861563265323638916e-01
8.651441906984498331e+00 2.809500396251678467e-01
8.701450241706950806e+00 2.782502472400665283e-01
8.751458576429405056e+00 2.770237624645233154e-01
8.801466911151859307e+00 2.831837236881256104e-01
8.851475245874313558e+00 2.734142839908599854e-01
8.901483580596766032e+00 2.887302637100219727e-01
8.951491915319220283e+00 2.741263508796691895e-01
9.001500250041674533e+00 3.046664595603942871e-01
9.051508584764127008e+00 3.013346195220947266e-01
9.101516919486581259e+00 2.986707985401153564e-01
9.151525254209035509e+00 2.983492910861968994e-01
9.201533588931489760e+00 2.858651280403137207e-01
9.251541923653942234e+00 2.932745218276977539e-01
9.301550258376396485e+00 2.826071679592132568e-01
9.351558593098850736e+00 3.058318793773651123e-01
9.401566927821303210e+00 2.948412597179412842e-01
9.451575262543757461e+00 2.952330112457275391e-01
9.501583597266211711e+00 2.835736572742462158e-01
9.551591931988665962e+00 2.847597897052764893e-01
9.601600266711118437e+00 2.867289781570434570e-01
9.651608601433572687e+00 3.034182786941528320e-01
9.701616936156026938e+00 2.905129790306091309e-01
9.751625270878479412e+00 2.754922211170196533e-01
9.801633605600933663e+00 2.902627289295196533e-01
9.851641940323387914e+00 3.067079484462738037e-01
9.901650275045842164e+00 2.909795641899108887e-01
9.951658609768294639e+00 3.015741407871246338e-01
1.000166694449074889e+01 3.085684776306152344e-01
1.005167527921320314e+01 3.065446615219116211e-01
1.010168361393565561e+01 3.226799666881561279e-01
1.015169194865810987e+01 3.304572105407714844e-01
1.020170028338056412e+01 3.404574096202850342e-01
1.025170861810301837e+01 3.453806638717651367e-01
1.030171695282547084e+01 3.479256033897399902e-01
1.035172528754792509e+01 3.462905883789062500e-01
1.040173362227037934e+01 3.311573863029479980e-01
1.045174195699283182e+01 3.278520107269287109e-01
1.050175029171528607e+01 3.171466886997222900e-01
1.055175862643774032e+01 3.128003180027008057e-01
1.060176696116019457e+01 2.912561297416687012e-01
1.065177529588264704e+01 3.010634779930114746e-01
1.070178363060510129e+01 3.007214963436126709e-01
1.075179196532755554e+01 3.073331117630004883e-01
1.080180030005000802e+01 3.104773163795471191e-01
1.085180863477246227e+01 3.089980781078338623e-01
1.090181696949491652e+01 3.081187903881072998e-01
1.095182530421737077e+01 2.990390062332153320e-01
1.100183363893982325e+01 3.240519165992736816e-01
1.105184197366227750e+01 3.384572863578796387e-01
1.110185030838473175e+01 2.941605150699615479e-01
1.115185864310718422e+01 2.989641726016998291e-01
1.120186697782963847e+01 3.184164166450500488e-01
1.125187531255209272e+01 3.133596181869506836e-01
1.130188364727454697e+01 3.123995959758758545e-01
1.135189198199699945e+01 2.902913391590118408e-01
1.140190031671945370e+01 2.761655151844024658e-01
1.145190865144190795e+01 2.985294163227081299e-01
1.150191698616436042e+01 2.708753645420074463e-01
1.155192532088681467e+01 2.679519057273864746e-01
1.160193365560926892e+01 3.126372992992401123e-01
1.165194199033172318e+01 2.905931770801544189e-01
1.170195032505417565e+01 2.734058499336242676e-01
1.175195865977662990e+01 2.943024337291717529e-01
1.180196699449908415e+01 3.142616450786590576e-01
1.185197532922153663e+01 3.305346965789794922e-01
1.190198366394399088e+01 3.229308426380157471e-01
1.195199199866644513e+01 2.925751507282257080e-01
1.200200033338889938e+01 3.177556693553924561e-01
1.205200866811135185e+01 3.089047074317932129e-01
1.210201700283380610e+01 3.622643053531646729e-01
1.215202533755626035e+01 3.306261301040649414e-01
1.220203367227871283e+01 3.302114009857177734e-01
1.225204200700116708e+01 3.335660398006439209e-01
1.230205034172362133e+01 3.320680856704711914e-01
1.235205867644607558e+01 3.542723953723907471e-01
1.240206701116852805e+01 3.416877985000610352e-01
1.245207534589098231e+01 3.328861594200134277e-01
1.250208368061343656e+01 3.022404909133911133e-01
1.255209201533588903e+01 3.422935605049133301e-01
1.260210035005834328e+01 3.247730135917663574e-01
1.265210868478079753e+01 3.010511994361877441e-01
1.270211701950325178e+01 3.250740766525268555e-01
1.275212535422570426e+01 3.334809541702270508e-01
1.280213368894815851e+01 3.401353955268859863e-01
1.285214202367061276e+01 3.420629799365997314e-01
1.290215035839306523e+01 3.443035781383514404e-01
1.295215869311551948e+01 3.337423503398895264e-01
1.300216702783797373e+01 3.194811344146728516e-01
