time(ns) Rg
0.000000000000000000e+00 1.965550914955995099e+00
5.000833472245374417e-02 1.980339414781094876e+00
1.000166694449074883e-01 1.987141731807448686e+00
1.500250041673612256e-01 1.976319135108392855e+00
2.000333388898149767e-01 1.961969015217672307e+00
2.500416736122687000e-01 1.940868551308712497e+00
3.000500083347224511e-01 1.939480244394689690e+00
3.500583430571762023e-01 1.928794300368629644e+00
4.000666777796299534e-01 1.928307560058168946e+00
4.500750125020837045e-01 1.945659239128108231e+00
5.000833472245374001e-01 1.954673431173819642e+00
5.500916819469912067e-01 1.964762189848227703e+00
6.001000166694449023e-01 1.967753552607857115e+00
6.501083513918987089e-01 1.958996157394852666e+00
7.001166861143524045e-01 1.962448803948699583e+00
7.501250208368062111e-01 1.989987555535128738e+00
8.001333555592599067e-01 2.000481686485984234e+00
8.501416902817136023e-01 1.993544479580288131e+00
9.001500250041674089e-01 1.980215704551313793e+00
9.501583597266211045e-01 2.001595484824622684e+00
1.000166694449074800e+00 1.978455072951640359e+00
1.050175029171528607e+00 1.995890323705088232e+00
1.100183363893982413e+00 1.996025889675233866e+00
1.150191698616436220e+00 2.007616721171730845e+00
1.200200033338889805e+00 1.988725706831567575e+00
1.250208368061343611e+00 2.009053981676119260e+00
1.300216702783797418e+00 1.980577760770605211e+00
1.350225037506251002e+00 1.985837701446133696e+00
1.400233372228704809e+00 1.976235883233066648e+00
1.450241706951158616e+00 1.968672178673001039e+00
1.500250041673612422e+00 1.993154637460408551e+00
1.550258376396066007e+00 1.961104861370015717e+00
1.600266711118519813e+00 1.961999060958919960e+00
1.650275045840973620e+00 1.973428326612062023e+00
1.700283380563427205e+00 1.963581320028903177e+00
1.750291715285881011e+00 1.961325129596247052e+00
1.800300050008334818e+00 1.952260760253641703e+00
1.850308384730788624e+00 1.952895885150803590e+00
1.900316719453242209e+00 1.961653258676635092e+00
1.950325054175696016e+00 1.970706156956212984e+00
2.000333388898149600e+00 1.982156877044160215e+00
2.050341723620603407e+00 1.976788770692873953e+00
2.100350058343057214e+00 1.974180976252610575e+00
2.150358393065511020e+00 1.975416261585142053e+00
2.200366727787964827e+00 1.970539558212663245e+00
2.250375062510418633e+00 1.962815507515932589e+00
2.300383397232872440e+00 1.969532707898610679e+00
2.350391731955325803e+00 1.956063054130735779e+00
2.400400066677779609e+00 1.954160360282025888e+00
2.450408401400233416e+00 1.965514314616698899e+00
2.500416736122687222e+00 1.944188672915582394e+00
2.550425070845141029e+00 1.939208146242190400e+00
2.600433405567594836e+00 1.949345053990128473e+00
2.650441740290048642e+00 1.956516785070129272e+00
2.700450075012502005e+00 1.956236076590055273e+00
2.750458409734955811e+00 1.947183007436330993e+00
2.800466744457409618e+00 1.938003876281161775e+00
2.850475079179863425e+00 1.930578311476797815e+00
2.900483413902317231e+00 1.939746212286085569e+00
2.950491748624771038e+00 1.952691844658283937e+00
3.000500083347224844e+00 1.944247289033908865e+00
3.050508418069678207e+00 1.941907119458923470e+00
3.100516752792132014e+00 1.944207724154713546e+00
3.150525087514585820e+00 1.951869696062598303e+00
3.200533422237039627e+00 1.954789594211445714e+00
3.250541756959493433e+00 1.971109641184626726e+00
3.300550091681947240e+00 1.965064650274238822e+00
3.350558426404401047e+00 1.969249941451285624e+00
3.400566761126854409e+00 1.978168695927416731e+00
3.450575095849308216e+00 1.963525680369040183e+00
3.500583430571762023e+00 1.966520065921416149e+00
3.550591765294215829e+00 1.965180063674393685e+00
3.600600100016669636e+00 1.962805471077282204e+00
3.650608434739123442e+00 1.963156834743866153e+00
3.700616769461577249e+00 1.940163794232611982e+00
3.750625104184030612e+00 1.970690599035196611e+00
3.800633438906484418e+00 1.969671631301057602e+00
3.850641773628938225e+00 1.982694996406351162e+00
3.900650108351392031e+00 1.981907075351374781e+00
3.950658443073845838e+00 1.975764555306451120e+00
4.000666777796299201e+00 1.975263689303942360e+00
4.050675112518753451e+00 1.973698578399170289e+00
4.100683447241206814e+00 1.976172902422918654e+00
4.150691781963661064e+00 1.982403864865307508e+00
4.200700116686114427e+00 1.981953752757472875e+00
4.250708451408568678e+00 1.973209424389609890e+00
4.300716786131022040e+00 1.974624017662042652e+00
4.350725120853475403e+00 1.980764620899638562e+00
4.400733455575929653e+00 1.966181221770129550e+00
4.450741790298383016e+00 1.973294822097926948e+00
4.500750125020837267e+00 1.978324403433584955e+00
4.550758459743290629e+00 1.979424669738272247e+00
4.600766794465744880e+00 1.982493951514057606e+00
4.650775129188198243e+00 1.972699048517031706e+00
4.700783463910651605e+00 1.966912300829132709e+00
4.750791798633105856e+00 1.965063277527338892e+00
4.800800133355559218e+00 1.984328664552046151e+00
4.850808468078013469e+00 1.969887743424635573e+00
4.900816802800466832e+00 1.969971425588995073e+00
4.950825137522921082e+00 1.971335796005116991e+00
5.000833472245374445e+00 1.970289907552037478e+00
5.050841806967827807e+00 1.964855581621701486e+00
5.100850141690282058e+00 1.951613312237863829e+00
5.150858476412735421e+00 1.952055046862897880e+00
5.200866811135189671e+00 1.942550988847540960e+00
5.250875145857643034e+00 1.945979345700305618e+00
5.300883480580097284e+00 1.943497715670066350e+00
5.350891815302550647e+00 1.954394493990999848e+00
5.400900150025004010e+00 1.966926337062798957e+00
5.450908484747458260e+00 1.954223875107504727e+00
5.500916819469911623e+00 1.962322443333350819e+00
5.550925154192365873e+00 1.970201872474051319e+00
5.600933488914819236e+00 1.959539781630741384e+00
5.650941823637273487e+00 1.960371609235592727e+00
5.700950158359726849e+00 1.961222895949435996e+00
5.750958493082180212e+00 1.947125767383439898e+00
5.800966827804634462e+00 1.943842089954697760e+00
5.850975162527087825e+00 1.938350200153374558e+00
5.900983497249542076e+00 1.945959569667810030e+00
5.950991831971995438e+00 1.958327184345293626e+00
6.001000166694449689e+00 1.952255942633688068e+00
6.051008501416903052e+00 1.945675824433082957e+00
6.101016836139356414e+00 1.944498705385444781e+00
6.151025170861810665e+00 1.944669929032132316e+00
6.201033505584264027e+00 1.961380886508567345e+00
6.251041840306718278e+00 1.961796107594209637e+00
6.301050175029171641e+00 1.969495349510079540e+00
6.351058509751625891e+00 1.949172857223585131e+00
6.401066844474079254e+00 1.954487789279174326e+00
6.451075179196532616e+00 1.953717472123453369e+00
6.501083513918986867e+00 1.972333827065479994e+00
6.551091848641440230e+00 1.974252241687855625e+00
6.601100183363894480e+00 1.955476219486362188e+00
6.651108518086347843e+00 1.962710703215008179e+00
6.701116852808802093e+00 1.956990065514136123e+00
6.751125187531255456e+00 1.949490219456015527e+00
6.801133522253708819e+00 1.952882434756372243e+00
6.851141856976163069e+00 1.967242730029154618e+00
6.901150191698616432e+00 1.955191101940751297e+00
6.951158526421070682e+00 1.963257143016415185e+00
7.001166861143524045e+00 1.959706761505464412e+00
7.051175195865978296e+00 1.945261446814180228e+00
7.101183530588431658e+00 1.945823136842133927e+00
7.151191865310885021e+00 1.947196818812241048e+00
7.201200200033339271e+00 1.958712378950450583e+00
7.251208534755792634e+00 1.959576988820262100e+00
7.301216869478246885e+00 1.949854621084634587e+00
7.351225204200700247e+00 1.951040447213550966e+00
7.401233538923154498e+00 1.944995254879104962e+00
7.451241873645607861e+00 1.949063949862162914e+00
7.501250208368061223e+00 1.959447535907077320e+00
7.551258543090515474e+00 1.957676722546849879e+00
7.601266877812968836e+00 1.951870441846259130e+00
7.651275212535423087e+00 1.941671388530890052e+00
7.701283547257876450e+00 1.945911419681046972e+00
7.751291881980330700e+00 1.955571184750762415e+00
7.801300216702784063e+00 1.935137940672847723e+00
7.851308551425237425e+00 1.945690120236419851e+00
7.901316886147691676e+00 1.945273196947681971e+00
7.951325220870145039e+00 1.933485465834785311e+00
8.001333555592598401e+00 1.941193210879780917e+00
8.051341890315052652e+00 1.935345771436479678e+00
8.101350225037506902e+00 1.940091573574878492e+00
8.151358559759961153e+00 1.946197419011669760e+00
8.201366894482413628e+00 1.946229918740466358e+00
8.251375229204867878e+00 1.951998988454815231e+00
8.301383563927322129e+00 1.961526195785646465e+00
8.351391898649774603e+00 1.954092823933986534e+00
8.401400233372228854e+00 1.945307404503497040e+00
8.451408568094683105e+00 1.960304104554914773e+00
8.501416902817137355e+00 1.954537517601412366e+00
8.551425237539589830e+00 1.952322669064028959e+00
8.601433572262044081e+00 1.962196898094960229e+00
8.651441906984498331e+00 1.962584283533642004e+00
8.701450241706950806e+00 1.955624590309445798e+00
8.751458576429405056e+00 1.951890331195121897e+00
8.801466911151859307e+00 1.942412304120476385e+00
8.851475245874313558e+00 1.957105204960204459e+00
8.901483580596766032e+00 1.951774327831848233e+00
8.951491915319220283e+00 1.961057002995920229e+00
9.001500250041674533e+00 1.951166140115126790e+00
9.051508584764127008e+00 1.948254419854418273e+00
9.101516919486581259e+00 1.950433572868042864e+00
9.151525254209035509e+00 1.943817832847301030e+00
9.201533588931489760e+00 1.943701628586312236e+00
9.251541923653942234e+00 1.941692257266276700e+00
9.301550258376396485e+00 1.938349003814590299e+00
9.351558593098850736e+00 1.944993269636088762e+00
9.401566927821303210e+00 1.937403201732590619e+00
9.451575262543757461e+00 1.928696460743294816e+00
9.501583597266211711e+00 1.947643322610391081e+00
9.551591931988665962e+00 1.941799003762464615e+00
9.601600266711118437e+00 1.929338628199664063e+00
9.651608601433572687e+00 1.932971503232071120e+00
9.701616936156026938e+00 1.931238707673329280e+00
9.751625270878479412e+00 1.945798525152571568e+00
9.801633605600933663e+00 1.937953786991659211e+00
9.851641940323387914e+00 1.941249745206327315e+00
9.901650275045842164e+00 1.937690874399916385e+00
9.951658609768294639e+00 1.923970410675695186e+00
1.000166694449074889e+01 1.933005695879872476e+00
1.005167527921320314e+01 1.930606394665540959e+00
1.010168361393565561e+01 1.919287221272315991e+00
1.015169194865810987e+01 1.920916483003554331e+00
1.020170028338056412e+01 1.918113418635230660e+00
1.025170861810301837e+01 1.909903604718176773e+00
1.030171695282547084e+01 1.917417851798082440e+00
1.035172528754792509e+01 1.915627038428710849e+00
1.040173362227037934e+01 1.916076352669276783e+00
1.045174195699283182e+01 1.920076746960638570e+00
1.050175029171528607e+01 1.932947923325571082e+00
1.055175862643774032e+01 1.929634215731155455e+00
1.060176696116019457e+01 1.923318239270675356e+00
1.065177529588264704e+01 1.936353926279818172e+00
1.070178363060510129e+01 1.927433523720093467e+00
1.075179196532755554e+01 1.933106768059797309e+00
1.080180030005000802e+01 1.929941064932285011e+00
