time(ns) rmsd
0.000000000000000000e+00 0.000000000000000000e+00
5.000833472245374417e-02 1.444554626941680908e-01
1.000166694449074883e-01 1.495124250650405884e-01
1.500250041673612256e-01 1.678216606378555298e-01
2.000333388898149767e-01 2.093991488218307495e-01
2.500416736122687000e-01 1.642539203166961670e-01
3.000500083347224511e-01 1.684141755104064941e-01
3.500583430571762023e-01 1.787965744733810425e-01
4.000666777796299534e-01 1.881369203329086304e-01
4.500750125020837045e-01 1.946374177932739258e-01
5.000833472245374001e-01 1.877342015504837036e-01
5.500916819469912067e-01 1.901740431785583496e-01
6.001000166694449023e-01 1.800735294818878174e-01
6.501083513918987089e-01 1.778768301010131836e-01
7.001166861143524045e-01 2.090175747871398926e-01
7.501250208368062111e-01 2.219587266445159912e-01
8.001333555592599067e-01 2.160574942827224731e-01
8.501416902817136023e-01 2.130282968282699585e-01
9.001500250041674089e-01 2.066510468721389771e-01
9.501583597266211045e-01 2.223460376262664795e-01
1.000166694449074800e+00 2.078420966863632202e-01
1.050175029171528607e+00 2.065352350473403931e-01
1.100183363893982413e+00 2.052256464958190918e-01
1.150191698616436220e+00 2.385451793670654297e-01
1.200200033338889805e+00 2.510697543621063232e-01
1.250208368061343611e+00 2.223574221134185791e-01
1.300216702783797418e+00 2.491270452737808228e-01
1.350225037506251002e+00 2.498020827770233154e-01
1.400233372228704809e+00 2.657257616519927979e-01
1.450241706951158616e+00 2.490346878767013550e-01
1.500250041673612422e+00 2.684569954872131348e-01
1.550258376396066007e+00 2.574743926525115967e-01
1.600266711118519813e+00 2.455920279026031494e-01
1.650275045840973620e+00 2.326008826494216919e-01
1.700283380563427205e+00 2.230783998966217041e-01
1.750291715285881011e+00 2.012274563312530518e-01
1.800300050008334818e+00 2.322851717472076416e-01
1.850308384730788624e+00 2.537701725959777832e-01
1.900316719453242209e+00 2.391567826271057129e-01
1.950325054175696016e+00 2.554849684238433838e-01
2.000333388898149600e+00 2.569762468338012695e-01
2.050341723620603407e+00 2.575851678848266602e-01
2.100350058343057214e+00 2.468459010124206543e-01
2.150358393065511020e+00 2.570568025112152100e-01
2.200366727787964827e+00 2.579011321067810059e-01
2.250375062510418633e+00 2.690664529800415039e-01
2.300383397232872440e+00 3.348933458328247070e-01
2.350391731955325803e+00 3.457621932029724121e-01
2.400400066677779609e+00 3.191842436790466309e-01
2.450408401400233416e+00 3.292625844478607178e-01
2.500416736122687222e+00 3.352187871932983398e-01
2.550425070845141029e+00 3.442839682102203369e-01
2.600433405567594836e+00 3.265953958034515381e-01
2.650441740290048642e+00 3.627229332923889160e-01
2.700450075012502005e+00 3.389878571033477783e-01
2.750458409734955811e+00 3.641863167285919189e-01
2.800466744457409618e+00 3.872133791446685791e-01
2.850475079179863425e+00 3.852782845497131348e-01
2.900483413902317231e+00 3.892305195331573486e-01
2.950491748624771038e+00 3.601911365985870361e-01
3.000500083347224844e+00 3.593400120735168457e-01
3.050508418069678207e+00 3.649542629718780518e-01
3.100516752792132014e+00 3.496518433094024658e-01
3.150525087514585820e+00 3.594213426113128662e-01
3.200533422237039627e+00 3.337166011333465576e-01
3.250541756959493433e+00 3.256162405014038086e-01
3.300550091681947240e+00 3.717913329601287842e-01
3.350558426404401047e+00 3.479257822036743164e-01
3.400566761126854409e+00 3.455658555030822754e-01
3.450575095849308216e+00 3.521274924278259277e-01
3.500583430571762023e+00 3.709222078323364258e-01
3.550591765294215829e+00 3.840845823287963867e-01
3.600600100016669636e+00 3.902563750743865967e-01
3.650608434739123442e+00 3.722619116306304932e-01
3.700616769461577249e+00 3.819162547588348389e-01
3.750625104184030612e+00 3.907565176486968994e-01
3.800633438906484418e+00 3.720913231372833252e-01
3.850641773628938225e+00 4.014470279216766357e-01
3.900650108351392031e+00 3.965119719505310059e-01
3.950658443073845838e+00 3.713121116161346436e-01
4.000666777796299201e+00 3.642924427986145020e-01
4.050675112518753451e+00 3.835145831108093262e-01
4.100683447241206814e+00 3.619451522827148438e-01
4.150691781963661064e+00 3.705517351627349854e-01
4.200700116686114427e+00 3.788566589355468750e-01
4.250708451408568678e+00 3.729805350303649902e-01
4.300716786131022040e+00 3.680838048458099365e-01
4.350725120853475403e+00 3.498439192771911621e-01
4.400733455575929653e+00 3.736159205436706543e-01
4.450741790298383016e+00 3.876705765724182129e-01
4.500750125020837267e+00 3.817559778690338135e-01
4.550758459743290629e+00 3.875275552272796631e-01
4.600766794465744880e+00 3.882297575473785400e-01
4.650775129188198243e+00 3.991390168666839600e-01
4.700783463910651605e+00 4.116322100162506104e-01
4.750791798633105856e+00 3.899951577186584473e-01
4.800800133355559218e+00 3.745205700397491455e-01
4.850808468078013469e+00 3.898464739322662354e-01
4.900816802800466832e+00 3.857013583183288574e-01
4.950825137522921082e+00 4.176381826400756836e-01
5.000833472245374445e+00 3.934436738491058350e-01
5.050841806967827807e+00 3.941447138786315918e-01
5.100850141690282058e+00 4.202530682086944580e-01
5.150858476412735421e+00 4.128649234771728516e-01
5.200866811135189671e+00 4.019035100936889648e-01
5.250875145857643034e+00 3.933138549327850342e-01
5.300883480580097284e+00 3.875607848167419434e-01
5.350891815302550647e+00 4.033108651638031006e-01
5.400900150025004010e+00 3.813598752021789551e-01
5.450908484747458260e+00 4.282077252864837646e-01
5.500916819469911623e+00 3.908260166645050049e-01
5.550925154192365873e+00 4.019338488578796387e-01
5.600933488914819236e+00 4.169424474239349365e-01
5.650941823637273487e+00 4.102062880992889404e-01
5.700950158359726849e+00 4.103755950927734375e-01
5.750958493082180212e+00 3.906746804714202881e-01
5.800966827804634462e+00 4.394360184669494629e-01
5.850975162527087825e+00 4.331577122211456299e-01
5.900983497249542076e+00 4.345586299896240234e-01
5.950991831971995438e+00 4.484085142612457275e-01
6.001000166694449689e+00 4.145475924015045166e-01
6.051008501416903052e+00 4.220851063728332520e-01
6.101016836139356414e+00 4.306185245513916016e-01
6.151025170861810665e+00 4.359455108642578125e-01
6.201033505584264027e+00 4.232085347175598145e-01
6.251041840306718278e+00 4.111227691173553467e-01
6.301050175029171641e+00 4.405152201652526855e-01
6.351058509751625891e+00 4.372875094413757324e-01
6.401066844474079254e+00 4.553641974925994873e-01
6.451075179196532616e+00 4.821816682815551758e-01
6.501083513918986867e+00 4.582252502441406250e-01
6.551091848641440230e+00 4.275528788566589355e-01
6.601100183363894480e+00 4.021455645561218262e-01
6.651108518086347843e+00 4.143338799476623535e-01
6.701116852808802093e+00 4.108120799064636230e-01
6.751125187531255456e+00 4.039668738842010498e-01
6.801133522253708819e+00 4.024480581283569336e-01
6.851141856976163069e+00 3.647266328334808350e-01
6.901150191698616432e+00 3.898777365684509277e-01
6.951158526421070682e+00 3.864295482635498047e-01
7.001166861143524045e+00 3.697954118251800537e-01
7.051175195865978296e+00 3.821830153465270996e-01
7.101183530588431658e+00 3.889301419258117676e-01
7.151191865310885021e+00 4.102797508239746094e-01
7.201200200033339271e+00 3.966894447803497314e-01
7.251208534755792634e+00 3.970830142498016357e-01
7.301216869478246885e+00 4.032766520977020264e-01
7.351225204200700247e+00 4.209744930267333984e-01
7.401233538923154498e+00 4.330111145973205566e-01
7.451241873645607861e+00 4.496713876724243164e-01
7.501250208368061223e+00 4.582970142364501953e-01
7.551258543090515474e+00 4.444074332714080811e-01
7.601266877812968836e+00 4.405627548694610596e-01
7.651275212535423087e+00 4.402226805686950684e-01
7.701283547257876450e+00 4.059540033340454102e-01
7.751291881980330700e+00 3.898511826992034912e-01
7.801300216702784063e+00 3.703629672527313232e-01
7.851308551425237425e+00 4.132942855358123779e-01
7.901316886147691676e+00 4.092124402523040771e-01
7.951325220870145039e+00 3.631324172019958496e-01
8.001333555592598401e+00 3.572990298271179199e-01
8.051341890315052652e+00 4.021100997924804688e-01
8.101350225037506902e+00 4.323555529117584229e-01
8.151358559759961153e+00 4.228071868419647217e-01
8.201366894482413628e+00 4.415230154991149902e-01
8.251375229204867878e+00 4.444276392459869385e-01
8.301383563927322129e+00 4.365746080875396729e-01
8.351391898649774603e+00 4.075551629066467285e-01
8.401400233372228854e+00 4.120595157146453857e-01
8.451408568094683105e+00 4.068461358547210693e-01
8.501416902817137355e+00 4.026446342468261719e-01
8.551425237539589830e+00 3.861698806285858154e-01
8.601433572262044081e+00 3.590358197689056396e-01
8.651441906984498331e+00 4.131300449371337891e-01
8.701450241706950806e+00 3.993942737579345703e-01
8.751458576429405056e+00 3.848582804203033447e-01
8.801466911151859307e+00 3.716799616813659668e-01
8.851475245874313558e+00 3.749797642230987549e-01
8.901483580596766032e+00 3.754616379737854004e-01
8.951491915319220283e+00 3.616227805614471436e-01
9.001500250041674533e+00 3.353594541549682617e-01
9.051508584764127008e+00 3.684517443180084229e-01
9.101516919486581259e+00 3.983382284641265869e-01
9.151525254209035509e+00 3.791965544223785400e-01
9.201533588931489760e+00 3.880306184291839600e-01
9.251541923653942234e+00 4.170974791049957275e-01
9.301550258376396485e+00 4.120187461376190186e-01
9.351558593098850736e+00 4.081389605998992920e-01
9.401566927821303210e+00 3.901767730712890625e-01
9.451575262543757461e+00 3.981487452983856201e-01
9.501583597266211711e+00 3.862491250038146973e-01
9.551591931988665962e+00 3.752489984035491943e-01
9.601600266711118437e+00 3.913407027721405029e-01
9.651608601433572687e+00 3.859231770038604736e-01
9.701616936156026938e+00 4.236089885234832764e-01
9.751625270878479412e+00 4.012515842914581299e-01
9.801633605600933663e+00 4.189141690731048584e-01
9.851641940323387914e+00 4.205594956874847412e-01
9.901650275045842164e+00 4.356979429721832275e-01
9.951658609768294639e+00 4.199863970279693604e-01
1.000166694449074889e+01 4.074004590511322021e-01
1.005167527921320314e+01 3.846490085124969482e-01
1.010168361393565561e+01 4.259356260299682617e-01
1.015169194865810987e+01 4.259340167045593262e-01
1.020170028338056412e+01 4.477158784866333008e-01
1.025170861810301837e+01 4.106222093105316162e-01
1.030171695282547084e+01 4.310558438301086426e-01
1.035172528754792509e+01 4.317778348922729492e-01
1.040173362227037934e+01 4.303641319274902344e-01
1.045174195699283182e+01 4.456104040145874023e-01
1.050175029171528607e+01 4.539312124252319336e-01
1.055175862643774032e+01 4.644435644149780273e-01
1.060176696116019457e+01 4.465757906436920166e-01
1.065177529588264704e+01 4.466520249843597412e-01
1.070178363060510129e+01 4.320707917213439941e-01
1.075179196532755554e+01 4.543698728084564209e-01
1.080180030005000802e+01 4.855094254016876221e-01
1.085180863477246227e+01 4.725973308086395264e-01
1.090181696949491652e+01 4.613618254661560059e-01
1.095182530421737077e+01 4.660777151584625244e-01
1.100183363893982325e+01 4.650929570198059082e-01
1.105184197366227750e+01 4.691770076751708984e-01
1.110185030838473175e+01 5.059536695480346680e-01
1.115185864310718422e+01 5.100222229957580566e-01
1.120186697782963847e+01 4.701033234596252441e-01
1.125187531255209272e+01 4.675989449024200439e-01
1.130188364727454697e+01 4.643202126026153564e-01
1.135189198199699945e+01 4.736301302909851074e-01
1.140190031671945370e+01 5.039395093917846680e-01
1.145190865144190795e+01 4.741607010364532471e-01
1.150191698616436042e+01 4.714568853378295898e-01
1.155192532088681467e+01 4.715520441532135010e-01
1.160193365560926892e+01 4.552990198135375977e-01
1.165194199033172318e+01 4.385582804679870605e-01
1.170195032505417565e+01 4.769861996173858643e-01
1.175195865977662990e+01 4.524189531803131104e-01
1.180196699449908415e+01 4.664798378944396973e-01
1.185197532922153663e+01 4.324795007705688477e-01
1.190198366394399088e+01 4.289951324462890625e-01
1.195199199866644513e+01 4.434601664543151855e-01
1.200200033338889938e+01 4.198253452777862549e-01
1.205200866811135185e+01 4.554207623004913330e-01
1.210201700283380610e+01 4.685479998588562012e-01
1.215202533755626035e+01 4.599390327930450439e-01
1.220203367227871283e+01 4.534134864807128906e-01
1.225204200700116708e+01 4.335436522960662842e-01
1.230205034172362133e+01 4.225513935089111328e-01
1.235205867644607558e+01 4.621843397617340088e-01
1.240206701116852805e+01 4.820604920387268066e-01
1.245207534589098231e+01 4.720377027988433838e-01
1.250208368061343656e+01 4.908532798290252686e-01
1.255209201533588903e+01 5.017930269241333008e-01
1.260210035005834328e+01 4.960273504257202148e-01
1.265210868478079753e+01 5.010474920272827148e-01
1.270211701950325178e+01 4.925142526626586914e-01
1.275212535422570426e+01 5.047705769538879395e-01
1.280213368894815851e+01 5.043825507164001465e-01
1.285214202367061276e+01 4.859342575073242188e-01
1.290215035839306523e+01 4.905326068401336670e-01
1.295215869311551948e+01 4.867800176143646240e-01
1.300216702783797373e+01 5.074977278709411621e-01
1.305217536256042798e+01 4.902098476886749268e-01
1.310218369728288046e+01 5.063245296478271484e-01
1.315219203200533471e+01 4.829930365085601807e-01
1.320220036672778896e+01 4.757058918476104736e-01
1.325220870145024143e+01 4.846652746200561523e-01
1.330221703617269569e+01 4.813469946384429932e-01
1.335222537089514994e+01 5.022068023681640625e-01
1.340223370561760419e+01 5.488319396972656250e-01
1.345224204034005666e+01 5.272429585456848145e-01
1.350225037506251091e+01 5.214648842811584473e-01
1.355225870978496516e+01 5.357563495635986328e-01
1.360226704450741764e+01 5.375032424926757812e-01
1.365227537922987189e+01 5.254969596862792969e-01
1.370228371395232614e+01 4.972951114177703857e-01
1.375229204867478039e+01 5.038655400276184082e-01
1.380230038339723286e+01 5.021765828132629395e-01
1.385230871811968711e+01 5.233250260353088379e-01
1.390231705284214136e+01 4.740549325942993164e-01
1.395232538756459384e+01 4.722476899623870850e-01
1.400233372228704809e+01 4.663446843624114990e-01
1.405234205700950234e+01 4.566879272460937500e-01
1.410235039173195659e+01 4.502097666263580322e-01
1.415235872645440907e+01 4.365682899951934814e-01
1.420236706117686332e+01 4.409875869750976562e-01
1.425237539589931757e+01 4.588613808155059814e-01
1.430238373062177004e+01 4.554773271083831787e-01
1.435239206534422429e+01 4.569336473941802979e-01
1.440240040006667854e+01 4.802162945270538330e-01
1.445240873478913279e+01 4.319307506084442139e-01
1.450241706951158527e+01 4.485716223716735840e-01
1.455242540423403952e+01 4.317826330661773682e-01
1.460243373895649377e+01 4.655236005783081055e-01
1.465244207367894624e+01 4.597364366054534912e-01
1.470245040840140049e+01 4.758732020854949951e-01
1.475245874312385475e+01 4.599070250988006592e-01
1.480246707784630900e+01 4.635109007358551025e-01
1.485247541256876147e+01 4.648633897304534912e-01
1.490248374729121572e+01 4.871093034744262695e-01
1.495249208201366997e+01 4.770353734493255615e-01
1.500250041673612245e+01 5.161268711090087891e-01
1.505250875145857670e+01 5.122438073158264160e-01
1.510251708618103095e+01 5.024499893188476562e-01
1.515252542090348520e+01 4.779209494590759277e-01
1.520253375562593767e+01 5.058941245079040527e-01
1.525254209034839192e+01 4.775231778621673584e-01
1.530255042507084617e+01 5.084854364395141602e-01
1.535255875979329865e+01 5.101489424705505371e-01
1.540256709451575290e+01 4.973848462104797363e-01
1.545257542923820715e+01 4.701052904129028320e-01
1.550258376396066140e+01 4.990061223506927490e-01
1.555259209868311387e+01 4.958037734031677246e-01
1.560260043340556813e+01 4.926296174526214600e-01
1.565260876812802238e+01 4.805711507797241211e-01
1.570261710285047485e+01 4.843499958515167236e-01
1.575262543757292910e+01 4.883479177951812744e-01
1.580263377229538335e+01 4.968091547489166260e-01
1.585264210701783760e+01 5.263534188270568848e-01
1.590265044174029008e+01 4.885089993476867676e-01
1.595265877646274433e+01 4.726830124855041504e-01
1.600266711118519680e+01 4.766103327274322510e-01
1.605267544590765283e+01 4.855985045433044434e-01
1.610268378063010530e+01 4.542726576328277588e-01
1.615269211535255778e+01 4.656510651111602783e-01
1.620270045007501380e+01 4.433486163616180420e-01
1.625270878479746628e+01 4.381079673767089844e-01
1.630271711951992231e+01 4.343621730804443359e-01
1.635272545424237478e+01 4.610730409622192383e-01
1.640273378896482726e+01 4.653980433940887451e-01
1.645274212368728328e+01 4.572950005531311035e-01
1.650275045840973576e+01 4.479239583015441895e-01
1.655275879313218823e+01 4.448094666004180908e-01
1.660276712785464426e+01 4.169656038284301758e-01
1.665277546257709673e+01 4.618397653102874756e-01
1.670278379729954921e+01 4.521503746509552002e-01
1.675279213202200523e+01 4.785429239273071289e-01
1.680280046674445771e+01 4.713715016841888428e-01
1.685280880146691018e+01 4.424936771392822266e-01
1.690281713618936621e+01 4.335813224315643311e-01
1.695282547091181868e+01 4.446858465671539307e-01
1.700283380563427471e+01 4.417157471179962158e-01
1.705284214035672719e+01 4.881575703620910645e-01
1.710285047507917966e+01 5.059505105018615723e-01
1.715285880980163569e+01 4.840573370456695557e-01
1.720286714452408816e+01 4.795489907264709473e-01
1.725287547924654064e+01 5.174716114997863770e-01
1.730288381396899666e+01 4.914865195751190186e-01
1.735289214869144914e+01 5.073213577270507812e-01
1.740290048341390161e+01 4.898112714290618896e-01
1.745290881813635764e+01 4.913676381111145020e-01
1.750291715285881011e+01 5.149050354957580566e-01
1.755292548758126259e+01 4.864500164985656738e-01
1.760293382230371861e+01 4.947484433650970459e-01
1.765294215702617109e+01 4.656970202922821045e-01
1.770295049174862712e+01 4.487244188785552979e-01
1.775295882647107959e+01 4.376866221427917480e-01
1.780296716119353206e+01 4.311956167221069336e-01
1.785297549591598809e+01 4.245311915874481201e-01
1.790298383063844057e+01 4.280701875686645508e-01
1.795299216536089304e+01 4.297880530357360840e-01
1.800300050008334907e+01 4.704301059246063232e-01
1.805300883480580154e+01 4.562449157238006592e-01
1.810301716952825402e+01 4.752457737922668457e-01
1.815302550425071004e+01 4.854535162448883057e-01
1.820303383897316252e+01 4.778790473937988281e-01
1.825304217369561499e+01 4.745084643363952637e-01
1.830305050841807102e+01 5.077247619628906250e-01
1.835305884314052349e+01 4.960584342479705811e-01
1.840306717786297952e+01 5.313879251480102539e-01
1.845307551258543199e+01 5.498265624046325684e-01
1.850308384730788447e+01 5.153498053550720215e-01
1.855309218203034050e+01 5.257188677787780762e-01
1.860310051675279297e+01 5.400497913360595703e-01
1.865310885147524544e+01 5.093497037887573242e-01
1.870311718619770147e+01 4.815553128719329834e-01
1.875312552092015395e+01 4.821850061416625977e-01
1.880313385564260642e+01 5.068458914756774902e-01
1.885314219036506245e+01 4.965664446353912354e-01
1.890315052508751492e+01 4.795782566070556641e-01
1.895315885980996740e+01 4.957388043403625488e-01
1.900316719453242342e+01 5.012278556823730469e-01
1.905317552925487590e+01 4.825841784477233887e-01
1.910318386397733192e+01 4.985241293907165527e-01
1.915319219869978440e+01 5.158651471138000488e-01
1.920320053342223687e+01 4.785357117652893066e-01
1.925320886814469290e+01 5.149773955345153809e-01
1.930321720286714537e+01 5.372712612152099609e-01
1.935322553758959785e+01 5.702620148658752441e-01
1.940323387231205388e+01 5.632875561714172363e-01
1.945324220703450635e+01 5.206670761108398438e-01
1.950325054175695882e+01 4.950222373008728027e-01
1.955325887647941485e+01 4.570977687835693359e-01
1.960326721120186733e+01 4.616175591945648193e-01
1.965327554592431980e+01 4.541217088699340820e-01
1.970328388064677583e+01 4.465021193027496338e-01
1.975329221536922830e+01 4.172893464565277100e-01
1.980330055009168433e+01 4.304085075855255127e-01
1.985330888481413680e+01 4.396066665649414062e-01
1.990331721953658928e+01 4.495306611061096191e-01
1.995332555425904530e+01 4.504217803478240967e-01
2.000333388898149778e+01 4.103430807590484619e-01
2.005334222370395025e+01 4.182012975215911865e-01
2.010335055842640628e+01 4.270985126495361328e-01
2.015335889314885875e+01 4.390495121479034424e-01
2.020336722787131123e+01 4.608798921108245850e-01
2.025337556259376726e+01 4.697376191616058350e-01
2.030338389731621973e+01 4.547160565853118896e-01
2.035339223203867220e+01 4.637699127197265625e-01
2.040340056676112823e+01 4.666282534599304199e-01
2.045340890148358071e+01 4.651641845703125000e-01
2.050341723620603673e+01 4.613189399242401123e-01
2.055342557092848921e+01 4.488448798656463623e-01
2.060343390565094168e+01 4.513309895992279053e-01
2.065344224037339771e+01 4.356076419353485107e-01
2.070345057509585018e+01 4.503349363803863525e-01
2.075345890981830266e+01 4.530099332332611084e-01
2.080346724454075868e+01 4.355981647968292236e-01
2.085347557926321116e+01 4.490391016006469727e-01
2.090348391398566363e+01 4.660194814205169678e-01
2.095349224870811966e+01 4.373106658458709717e-01
2.100350058343057214e+01 4.788668155670166016e-01
2.105350891815302461e+01 4.611344039440155029e-01
2.110351725287548064e+01 4.417834579944610596e-01
2.115352558759793311e+01 4.043544828891754150e-01
2.120353392232038914e+01 4.325289726257324219e-01
2.125354225704284161e+01 4.211919307708740234e-01
2.130355059176529409e+01 4.217453896999359131e-01
2.135355892648775011e+01 4.067697823047637939e-01
2.140356726121020259e+01 4.465289115905761719e-01
2.145357559593265506e+01 4.410110712051391602e-01
2.150358393065511109e+01 4.402655363082885742e-01
2.155359226537756356e+01 4.664216339588165283e-01
2.160360060010001604e+01 4.599085152149200439e-01
2.165360893482247207e+01 4.580836594104766846e-01
2.170361726954492454e+01 4.532028734683990479e-01
2.175362560426737701e+01 4.633838534355163574e-01
2.180363393898983304e+01 4.640317559242248535e-01
2.185364227371228552e+01 4.557298123836517334e-01
2.190365060843474154e+01 4.664694666862487793e-01
2.195365894315719402e+01 4.946070611476898193e-01
2.200366727787964649e+01 4.935972094535827637e-01
2.205367561260210252e+01 4.893089234828948975e-01
2.210368394732455499e+01 4.971854686737060547e-01
2.215369228204700747e+01 4.813383817672729492e-01
2.220370061676946349e+01 4.849803447723388672e-01
2.225370895149191597e+01 4.506923854351043701e-01
2.230371728621436844e+01 4.652769267559051514e-01
2.235372562093682447e+01 4.667189419269561768e-01
2.240373395565927694e+01 4.825250804424285889e-01
2.245374229038172942e+01 4.944116771221160889e-01
2.250375062510418545e+01 5.013160109519958496e-01
2.255375895982663792e+01 5.209701061248779297e-01
2.260376729454909395e+01 4.866750836372375488e-01
2.265377562927154642e+01 4.452163279056549072e-01
2.270378396399399890e+01 4.450173377990722656e-01
2.275379229871645492e+01 4.527940452098846436e-01
2.280380063343890740e+01 4.196762740612030029e-01
2.285380896816135987e+01 4.573483169078826904e-01
2.290381730288381590e+01 4.275178909301757812e-01
2.295382563760626837e+01 4.254557490348815918e-01
2.300383397232872085e+01 4.472815096378326416e-01
2.305384230705117687e+01 4.605858027935028076e-01
2.310385064177362935e+01 4.505754709243774414e-01
2.315385897649608182e+01 4.457812309265136719e-01
2.320386731121853785e+01 4.562857449054718018e-01
2.325387564594099032e+01 4.686501324176788330e-01
2.330388398066344635e+01 4.738530218601226807e-01
2.335389231538589883e+01 4.958617687225341797e-01
2.340390065010835130e+01 4.799196720123291016e-01
2.345390898483080733e+01 4.848560690879821777e-01
2.350391731955325980e+01 4.679928421974182129e-01
2.355392565427571228e+01 4.591149985790252686e-01
2.360393398899816830e+01 4.280798435211181641e-01
2.365394232372062078e+01 4.444286823272705078e-01
2.370395065844307325e+01 4.562197029590606689e-01
2.375395899316552928e+01 5.027356147766113281e-01
2.380396732788798175e+01 4.691319167613983154e-01
2.385397566261043423e+01 4.419328868389129639e-01
2.390398399733289025e+01 4.546599090099334717e-01
2.395399233205534273e+01 4.280868470668792725e-01
2.400400066677779876e+01 4.739146828651428223e-01
2.405400900150025123e+01 4.404530823230743408e-01
2.410401733622270370e+01 4.562802016735076904e-01
2.415402567094515973e+01 4.195062816143035889e-01
2.420403400566761221e+01 4.574629962444305420e-01
2.425404234039006468e+01 4.629974365234375000e-01
2.430405067511252071e+01 4.534875452518463135e-01
2.435405900983497318e+01 4.289817214012145996e-01
2.440406734455742566e+01 4.389310777187347412e-01
2.445407567927988168e+01 4.051388502120971680e-01
2.450408401400233416e+01 3.883778750896453857e-01
2.455409234872478663e+01 4.266657531261444092e-01
2.460410068344724266e+01 4.445590972900390625e-01
2.465410901816969513e+01 4.229633212089538574e-01
2.470411735289215116e+01 4.460850954055786133e-01
2.475412568761460363e+01 4.424692392349243164e-01
2.480413402233705611e+01 4.270026087760925293e-01
2.485414235705951214e+01 4.480959475040435791e-01
2.490415069178196461e+01 4.204293191432952881e-01
2.495415902650441708e+01 4.031705260276794434e-01
2.500416736122687311e+01 4.343166053295135498e-01
2.505417569594932559e+01 4.468549191951751709e-01
2.510418403067177806e+01 4.152273833751678467e-01
2.515419236539423409e+01 4.486936628818511963e-01
2.520420070011668656e+01 4.703308045864105225e-01
2.525420903483913904e+01 4.718822240829467773e-01
2.530421736956159506e+01 4.865809977054595947e-01
2.535422570428404754e+01 4.418376088142395020e-01
2.540423403900650356e+01 4.355854690074920654e-01
2.545424237372895604e+01 4.256687462329864502e-01
2.550425070845140851e+01 4.347618520259857178e-01
2.555425904317386454e+01 4.330398142337799072e-01
2.560426737789631702e+01 4.330568015575408936e-01
2.565427571261876949e+01 4.206557869911193848e-01
2.570428404734122552e+01 4.236735999584197998e-01
2.575429238206367799e+01 4.309912621974945068e-01
2.580430071678613047e+01 4.326119422912597656e-01
2.585430905150858649e+01 4.141622781753540039e-01
2.590431738623103897e+01 4.323715269565582275e-01
2.595432572095349499e+01 4.281051158905029297e-01
2.600433405567594747e+01 4.557242393493652344e-01
2.605434239039839994e+01 4.625336229801177979e-01
2.610435072512085597e+01 4.284762442111968994e-01
2.615435905984330844e+01 4.249098002910614014e-01
2.620436739456576092e+01 4.375793933868408203e-01
2.625437572928821695e+01 4.447872340679168701e-01
2.630438406401066942e+01 4.615398049354553223e-01
2.635439239873312189e+01 4.417209625244140625e-01
2.640440073345557792e+01 4.366415441036224365e-01
2.645440906817803040e+01 4.564692378044128418e-01
2.650441740290048287e+01 4.709457457065582275e-01
2.655442573762293890e+01 4.694927036762237549e-01
2.660443407234539137e+01 4.479896724224090576e-01
2.665444240706784740e+01 4.744992256164550781e-01
2.670445074179029987e+01 4.540999233722686768e-01
2.675445907651275235e+01 4.483495056629180908e-01
2.680446741123520837e+01 4.543040394783020020e-01
2.685447574595766085e+01 4.637351930141448975e-01
2.690448408068011332e+01 4.510128200054168701e-01
2.695449241540256935e+01 4.528402984142303467e-01
2.700450075012502182e+01 4.545020163059234619e-01
2.705450908484747430e+01 4.611393809318542480e-01
2.710451741956993033e+01 4.510913491249084473e-01
2.715452575429238280e+01 4.606492519378662109e-01
2.720453408901483527e+01 4.639400243759155273e-01
2.725454242373729130e+01 4.702334702014923096e-01
2.730455075845974378e+01 4.474630057811737061e-01
2.735455909318219980e+01 4.484290182590484619e-01
2.740456742790465228e+01 4.602825343608856201e-01
2.745457576262710475e+01 4.361602365970611572e-01
2.750458409734956078e+01 4.480133056640625000e-01
2.755459243207201325e+01 4.121499657630920410e-01
2.760460076679446573e+01 4.035115838050842285e-01
2.765460910151692175e+01 4.341582059860229492e-01
2.770461743623937423e+01 4.565362632274627686e-01
2.775462577096182670e+01 4.360742568969726562e-01
2.780463410568428273e+01 4.410006403923034668e-01
2.785464244040673520e+01 4.452680051326751709e-01
2.790465077512918768e+01 4.512315988540649414e-01
2.795465910985164371e+01 5.052770972251892090e-01
2.800466744457409618e+01 4.831473231315612793e-01
2.805467577929655221e+01 4.718900024890899658e-01
2.810468411401900468e+01 4.906301498413085938e-01
2.815469244874145716e+01 4.999544322490692139e-01
2.820470078346391318e+01 4.759186208248138428e-01
2.825470911818636566e+01 4.515037536621093750e-01
2.830471745290881813e+01 4.543248116970062256e-01
2.835472578763127416e+01 4.786352217197418213e-01
2.840473412235372663e+01 4.713256061077117920e-01
2.845474245707617911e+01 5.019708871841430664e-01
2.850475079179863513e+01 5.100573897361755371e-01
2.855475912652108761e+01 5.135436654090881348e-01
2.860476746124354008e+01 5.486109852790832520e-01
2.865477579596599611e+01 5.212142467498779297e-01
2.870478413068844858e+01 5.338270068168640137e-01
2.875479246541090461e+01 5.101299881935119629e-01
2.880480080013335709e+01 5.092778801918029785e-01
2.885480913485580956e+01 5.123497843742370605e-01
2.890481746957826559e+01 5.192158222198486328e-01
