time(ns) Rg
0.000000000000000000e+00 1.960921331838630710e+00
5.000833472245374417e-02 1.967091500975586715e+00
1.000166694449074883e-01 1.958580602922213254e+00
1.500250041673612256e-01 1.951724211255742691e+00
2.000333388898149767e-01 1.942268843603161876e+00
2.500416736122687000e-01 1.961955226444253020e+00
3.000500083347224511e-01 1.953398525220845894e+00
3.500583430571762023e-01 1.973069238627547684e+00
4.000666777796299534e-01 1.968959712541476836e+00
4.500750125020837045e-01 1.962201831415064657e+00
5.000833472245374001e-01 1.955148853370213269e+00
5.500916819469912067e-01 1.973715168928888097e+00
6.001000166694449023e-01 1.975012043350605095e+00
6.501083513918987089e-01 1.957159033870550902e+00
7.001166861143524045e-01 1.961347285226625159e+00
7.501250208368062111e-01 1.940196977442774084e+00
8.001333555592599067e-01 1.943432340728747709e+00
8.501416902817136023e-01 1.956221380729867843e+00
9.001500250041674089e-01 1.953953523362407019e+00
9.501583597266211045e-01 1.955209557011127641e+00
1.000166694449074800e+00 1.947088946035086643e+00
1.050175029171528607e+00 1.938617715795850183e+00
1.100183363893982413e+00 1.944955573135332738e+00
1.150191698616436220e+00 1.936265720271917345e+00
1.200200033338889805e+00 1.939018315932000247e+00
1.250208368061343611e+00 1.935796774392442243e+00
1.300216702783797418e+00 1.928739211522900288e+00
1.350225037506251002e+00 1.928584335316189557e+00
1.400233372228704809e+00 1.927708229727899569e+00
1.450241706951158616e+00 1.935663906716772908e+00
1.500250041673612422e+00 1.951007197813930061e+00
1.550258376396066007e+00 1.939212353303453540e+00
1.600266711118519813e+00 1.945384879319868032e+00
1.650275045840973620e+00 1.950360590118068504e+00
1.700283380563427205e+00 1.954619115020773901e+00
1.750291715285881011e+00 1.952786530320117064e+00
1.800300050008334818e+00 1.946942530790866543e+00
1.850308384730788624e+00 1.945733763553310292e+00
1.900316719453242209e+00 1.948015520925733490e+00
1.950325054175696016e+00 1.938253605657702883e+00
2.000333388898149600e+00 1.935961260369763570e+00
2.050341723620603407e+00 1.948009672773580725e+00
2.100350058343057214e+00 1.953087290288386679e+00
2.150358393065511020e+00 1.941372567036746544e+00
2.200366727787964827e+00 1.964142494260646687e+00
2.250375062510418633e+00 1.940441245507278145e+00
2.300383397232872440e+00 1.921136338610962335e+00
2.350391731955325803e+00 1.916731816061853388e+00
2.400400066677779609e+00 1.938256748088265535e+00
2.450408401400233416e+00 1.933748174778967321e+00
2.500416736122687222e+00 1.924406565957554660e+00
2.550425070845141029e+00 1.923089326702304813e+00
2.600433405567594836e+00 1.936503853525518570e+00
2.650441740290048642e+00 1.915612214330871366e+00
2.700450075012502005e+00 1.933331925624424574e+00
2.750458409734955811e+00 1.938681743981682137e+00
2.800466744457409618e+00 1.943609249698151409e+00
2.850475079179863425e+00 1.921905675427321158e+00
2.900483413902317231e+00 1.934255744275599209e+00
2.950491748624771038e+00 1.934185841380374304e+00
3.000500083347224844e+00 1.952111315004451120e+00
3.050508418069678207e+00 1.950369460353988948e+00
3.100516752792132014e+00 1.942043988976932756e+00
3.150525087514585820e+00 1.938022095476705564e+00
