time(ns) Rg
0.000000000000000000e+00 1.960921331751586116e+00
1.000166694449074883e-01 1.967091500853905606e+00
2.000333388898149767e-01 1.958580602899698153e+00
3.000500083347224511e-01 1.951724211243265339e+00
4.000666777796299534e-01 1.942268843839693782e+00
5.000833472245374001e-01 1.961955226451074452e+00
6.001000166694449023e-01 1.953398525096571081e+00
7.001166861143524045e-01 1.973069238520245960e+00
8.001333555592599067e-01 1.968959712411999963e+00
9.001500250041674089e-01 1.962201831452185408e+00
1.000166694449074800e+00 1.955148853507449491e+00
1.100183363893982413e+00 1.973715168919551122e+00
1.200200033338889805e+00 1.975012043344495538e+00
1.300216702783797418e+00 1.957159033961574091e+00
1.400233372228704809e+00 1.961347284727737783e+00
1.500250041673612422e+00 1.940196977579598192e+00
1.600266711118519813e+00 1.943432340647693213e+00
1.700283380563427205e+00 1.956221380755438499e+00
1.800300050008334818e+00 1.953953523306378948e+00
1.900316719453242209e+00 1.955209557028408041e+00
2.000333388898149600e+00 1.947088945916324754e+00
2.100350058343057214e+00 1.938617715731569602e+00
2.200366727787964827e+00 1.944955573274077754e+00
2.300383397232872440e+00 1.936265719938907504e+00
2.400400066677779609e+00 1.939018316030211242e+00
2.500416736122687222e+00 1.935796774324214820e+00
2.600433405567594836e+00 1.928739211539052700e+00
2.700450075012502005e+00 1.928584335407423689e+00
2.800466744457409618e+00 1.927708229730517031e+00
2.900483413902317231e+00 1.935663906727313810e+00
3.000500083347224844e+00 1.951007197723519493e+00
3.100516752792132014e+00 1.939212353205252315e+00
3.200533422237039627e+00 1.945384879268329481e+00
3.300550091681947240e+00 1.950360590129429861e+00
3.400566761126854409e+00 1.954619114418364445e+00
3.500583430571762023e+00 1.952786530327756731e+00
3.600600100016669636e+00 1.946942530874620436e+00
3.700616769461577249e+00 1.945733763687940820e+00
3.800633438906484418e+00 1.948015520926634769e+00
3.900650108351392031e+00 1.938253605714072014e+00
4.000666777796299201e+00 1.935961260328739941e+00
4.100683447241206814e+00 1.948009672698348016e+00
4.200700116686114427e+00 1.953087290301585677e+00
4.300716786131022040e+00 1.941372567126588455e+00
4.400733455575929653e+00 1.964142494356037938e+00
4.500750125020837267e+00 1.940441245505977852e+00
4.600766794465744880e+00 1.921136338508610875e+00
4.700783463910651605e+00 1.916731816074444206e+00
4.800800133355559218e+00 1.938256747954021142e+00
4.900816802800466832e+00 1.933748174819584165e+00
5.000833472245374445e+00 1.924406565930763202e+00
5.100850141690282058e+00 1.923089326797108090e+00
5.200866811135189671e+00 1.936503853513509510e+00
5.300883480580097284e+00 1.915612214303384464e+00
5.400900150025004010e+00 1.933331925789877115e+00
5.500916819469911623e+00 1.938681743894997034e+00
5.600933488914819236e+00 1.943609249731563571e+00
5.700950158359726849e+00 1.921905675578917450e+00
5.800966827804634462e+00 1.934255744246675901e+00
5.900983497249542076e+00 1.934185840824798941e+00
6.001000166694449689e+00 1.952111315096384025e+00
6.101016836139356414e+00 1.950369460277722178e+00
6.201033505584264027e+00 1.942043988931744902e+00
6.301050175029171641e+00 1.938022095084112495e+00
6.401066844474079254e+00 1.935407434519224035e+00
6.501083513918986867e+00 1.950898789210104844e+00
6.601100183363894480e+00 1.942283773811258385e+00
6.701116852808802093e+00 1.934953457575220970e+00
6.801133522253708819e+00 1.943887351224613758e+00
6.901150191698616432e+00 1.946292354391826462e+00
7.001166861143524045e+00 1.945762675386900620e+00
7.101183530588431658e+00 1.939893907078658719e+00
7.201200200033339271e+00 1.951191102037943770e+00
7.301216869478246885e+00 1.948236012009395779e+00
7.401233538923154498e+00 1.951868039444610625e+00
7.501250208368061223e+00 1.946497408785037742e+00
7.601266877812968836e+00 1.939222797485033789e+00
7.701283547257876450e+00 1.945878829019082712e+00
7.801300216702784063e+00 1.933970200415537910e+00
7.901316886147691676e+00 1.935566159533998798e+00
8.001333555592598401e+00 1.932567799122251850e+00
8.101350225037506902e+00 1.944585425731531592e+00
8.201366894482413628e+00 1.939762636833608056e+00
8.301383563927322129e+00 1.921391990985831466e+00
8.401400233372228854e+00 1.917275346161146032e+00
8.501416902817137355e+00 1.928576633751594605e+00
8.601433572262044081e+00 1.939758338722050723e+00
8.701450241706950806e+00 1.932825351721316975e+00
8.801466911151859307e+00 1.927715293300066302e+00
8.901483580596766032e+00 1.922945596499380239e+00
9.001500250041674533e+00 1.924710728511767499e+00
9.101516919486581259e+00 1.929485947134207180e+00
9.201533588931489760e+00 1.931419733170477882e+00
9.301550258376396485e+00 1.924187104008061810e+00
9.401566927821303210e+00 1.923304701969873909e+00
9.501583597266211711e+00 1.931393893848997401e+00
9.601600266711118437e+00 1.929876657729695522e+00
9.701616936156026938e+00 1.924753518485725401e+00
9.801633605600933663e+00 1.931825542626802727e+00
9.901650275045842164e+00 1.924951976358448835e+00
1.000166694449074889e+01 1.928035346048392995e+00
1.010168361393565561e+01 1.937383676449457415e+00
1.020170028338056412e+01 1.928541058410518927e+00
1.030171695282547084e+01 1.934798648641248286e+00
1.040173362227037934e+01 1.939988218932517050e+00
1.050175029171528607e+01 1.944837887597095527e+00
1.060176696116019457e+01 1.932957425170972687e+00
1.070178363060510129e+01 1.925445338900771075e+00
1.080180030005000802e+01 1.932615884271180695e+00
1.090181696949491652e+01 1.933624270001729650e+00
1.100183363893982325e+01 1.923862977210098135e+00
1.110185030838473175e+01 1.939988252351789733e+00
1.120186697782963847e+01 1.926329445730653456e+00
1.130188364727454697e+01 1.937130976417068551e+00
1.140190031671945370e+01 1.933296445475568781e+00
1.150191698616436042e+01 1.933368020861089942e+00
1.160193365560926892e+01 1.934112035241456695e+00
1.170195032505417565e+01 1.913551487685185570e+00
1.180196699449908415e+01 1.934753951174586595e+00
1.190198366394399088e+01 1.927781347409363466e+00
1.200200033338889938e+01 1.944162354737842158e+00
1.210201700283380610e+01 1.923962280033660432e+00
1.220203367227871283e+01 1.933409501823155408e+00
1.230205034172362133e+01 1.928598886892025632e+00
1.240206701116852805e+01 1.926612193669262618e+00
1.250208368061343656e+01 1.923272231141311739e+00
1.260210035005834328e+01 1.928666123820660383e+00
1.270211701950325178e+01 1.938330328883104636e+00
1.280213368894815851e+01 1.922860083695737021e+00
1.290215035839306523e+01 1.926367490529384385e+00
1.300216702783797373e+01 1.941170881785622582e+00
1.310218369728288046e+01 1.913232050307366983e+00
1.320220036672778896e+01 1.928187331480512245e+00
1.330221703617269569e+01 1.935622569811191518e+00
1.340223370561760419e+01 1.939446925236794517e+00
1.350225037506251091e+01 1.936985814005543594e+00
1.360226704450741764e+01 1.913574382035904797e+00
1.370228371395232614e+01 1.933787764505933593e+00
1.380230038339723286e+01 1.928200698273937475e+00
1.390231705284214136e+01 1.929868334355839821e+00
1.400233372228704809e+01 1.930776952583054262e+00
1.410235039173195659e+01 1.932290077356288771e+00
1.420236706117686332e+01 1.921117164047404291e+00
1.430238373062177004e+01 1.929280064563852815e+00
1.440240040006667854e+01 1.928245050544061590e+00
1.450241706951158527e+01 1.936741055948719703e+00
1.460243373895649377e+01 1.953701685799334786e+00
1.470245040840140049e+01 1.938753183957447002e+00
1.480246707784630900e+01 1.912659901948740471e+00
1.490248374729121572e+01 1.929201162648887191e+00
1.500250041673612245e+01 1.921680328154046435e+00
1.510251708618103095e+01 1.916337179613876396e+00
1.520253375562593767e+01 1.913603099614798131e+00
1.530255042507084617e+01 1.925114546681902405e+00
1.540256709451575290e+01 1.916835474985801424e+00
1.550258376396066140e+01 1.923312415421491339e+00
1.560260043340556813e+01 1.910680572217176687e+00
1.570261710285047485e+01 1.920982012265894934e+00
1.580263377229538335e+01 1.910258291086860405e+00
1.590265044174029008e+01 1.925884613545401081e+00
1.600266711118519680e+01 1.921477074976121413e+00
1.610268378063010530e+01 1.904584778420632674e+00
1.620270045007501380e+01 1.906395487305967640e+00
1.630271711951992231e+01 1.906718039915848095e+00
1.640273378896482726e+01 1.915224141497014143e+00
1.650275045840973576e+01 1.916160669060494870e+00
1.660276712785464426e+01 1.909422769240838091e+00
1.670278379729954921e+01 1.916313102023469828e+00
1.680280046674445771e+01 1.915908671913966188e+00
1.690281713618936621e+01 1.911850484879094481e+00
1.700283380563427471e+01 1.913229167386378160e+00
1.710285047507917966e+01 1.914901002898205196e+00
1.720286714452408816e+01 1.919288704466002971e+00
1.730288381396899666e+01 1.917797637946784484e+00
1.740290048341390161e+01 1.914232196411808085e+00
1.750291715285881011e+01 1.913277844855245213e+00
1.760293382230371861e+01 1.921946984300410888e+00
1.770295049174862712e+01 1.930200881709087213e+00
1.780296716119353206e+01 1.923433142981427091e+00
1.790298383063844057e+01 1.918750325039975779e+00
1.800300050008334907e+01 1.940933320132732121e+00
1.810301716952825402e+01 1.940153083957083302e+00
1.820303383897316252e+01 1.939712621109084933e+00
1.830305050841807102e+01 1.943147638919126452e+00
1.840306717786297952e+01 1.945550467535754002e+00
1.850308384730788447e+01 1.929202150013644479e+00
1.860310051675279297e+01 1.929347909744584699e+00
1.870311718619770147e+01 1.921107736004383781e+00
1.880313385564260642e+01 1.920360056928797077e+00
1.890315052508751492e+01 1.925054760622014749e+00
1.900316719453242342e+01 1.916860924938019961e+00
1.910318386397733192e+01 1.923905057730891155e+00
1.920320053342223687e+01 1.922805160742518282e+00
1.930321720286714537e+01 1.915043349944361095e+00
1.940323387231205388e+01 1.906416142642111566e+00
1.950325054175695882e+01 1.918456264579202486e+00
1.960326721120186733e+01 1.922927467747180819e+00
1.970328388064677583e+01 1.913410132637504146e+00
1.980330055009168433e+01 1.916637359691044429e+00
1.990331721953658928e+01 1.921649362519993742e+00
2.000333388898149778e+01 1.916728349036464829e+00
2.010335055842640628e+01 1.912819034246804106e+00
2.020336722787131123e+01 1.922276278136641148e+00
2.030338389731621973e+01 1.916730658803609932e+00
2.040340056676112823e+01 1.928269655895664902e+00
2.050341723620603673e+01 1.921453087640629498e+00
2.060343390565094168e+01 1.917355061379586667e+00
2.070345057509585018e+01 1.910119643009063450e+00
2.080346724454075868e+01 1.910018489160185018e+00
2.090348391398566363e+01 1.904291805705510932e+00
2.100350058343057214e+01 1.928495080966603270e+00
2.110351725287548064e+01 1.920327617617296978e+00
2.120353392232038914e+01 1.914430261696504987e+00
2.130355059176529409e+01 1.924217967555458042e+00
2.140356726121020259e+01 1.921443128332433803e+00
2.150358393065511109e+01 1.926937386458286605e+00
2.160360060010001604e+01 1.925336951150422582e+00
2.170361726954492454e+01 1.915696603046596724e+00
2.180363393898983304e+01 1.919131482156135604e+00
2.190365060843474154e+01 1.929739046553911264e+00
2.200366727787964649e+01 1.908080352527441681e+00
2.210368394732455499e+01 1.912250027952612896e+00
2.220370061676946349e+01 1.913939542473207522e+00
2.230371728621436844e+01 1.906697607159754559e+00
2.240373395565927694e+01 1.922518990358695889e+00
2.250375062510418545e+01 1.912497989229458017e+00
2.260376729454909395e+01 1.918875023843264360e+00
2.270378396399399890e+01 1.913203723217437702e+00
2.280380063343890740e+01 1.907778377889169041e+00
2.290381730288381590e+01 1.908846968818808332e+00
2.300383397232872085e+01 1.919165121094426274e+00
2.310385064177362935e+01 1.909377801055127222e+00
2.320386731121853785e+01 1.919123411129750822e+00
2.330388398066344635e+01 1.930508973481539714e+00
2.340390065010835130e+01 1.905485125740292052e+00
2.350391731955325980e+01 1.924835806799456428e+00
2.360393398899816830e+01 1.912699787209703794e+00
