time(ns) rmsd
0.000000000000000000e+00 0.000000000000000000e+00
5.000833472245374417e-02 1.435075551271438599e-01
1.000166694449074883e-01 1.585132181644439697e-01
1.500250041673612256e-01 1.799732148647308350e-01
2.000333388898149767e-01 1.946983337402343750e-01
2.500416736122687000e-01 1.953720748424530029e-01
3.000500083347224511e-01 1.922547519207000732e-01
3.500583430571762023e-01 1.899708807468414307e-01
4.000666777796299534e-01 1.908636391162872314e-01
4.500750125020837045e-01 2.049978524446487427e-01
5.000833472245374001e-01 1.868716478347778320e-01
5.500916819469912067e-01 2.028439044952392578e-01
6.001000166694449023e-01 2.229373902082443237e-01
6.501083513918987089e-01 2.033054530620574951e-01
7.001166861143524045e-01 2.053091526031494141e-01
7.501250208368062111e-01 1.985098719596862793e-01
8.001333555592599067e-01 2.273059338331222534e-01
8.501416902817136023e-01 2.133985012769699097e-01
9.001500250041674089e-01 2.136996984481811523e-01
9.501583597266211045e-01 2.319994270801544189e-01
1.000166694449074800e+00 2.325848788022994995e-01
1.050175029171528607e+00 2.506002485752105713e-01
1.100183363893982413e+00 2.747854590415954590e-01
1.150191698616436220e+00 2.635051310062408447e-01
1.200200033338889805e+00 2.314779907464981079e-01
1.250208368061343611e+00 2.329638451337814331e-01
1.300216702783797418e+00 2.394776791334152222e-01
1.350225037506251002e+00 2.235517203807830811e-01
1.400233372228704809e+00 2.193126976490020752e-01
1.450241706951158616e+00 2.076677232980728149e-01
1.500250041673612422e+00 2.260086089372634888e-01
1.550258376396066007e+00 2.422549873590469360e-01
1.600266711118519813e+00 2.496708184480667114e-01
1.650275045840973620e+00 2.273503988981246948e-01
1.700283380563427205e+00 2.192309796810150146e-01
1.750291715285881011e+00 2.237181365489959717e-01
1.800300050008334818e+00 2.198337167501449585e-01
1.850308384730788624e+00 2.260309755802154541e-01
1.900316719453242209e+00 2.112693041563034058e-01
1.950325054175696016e+00 2.227095514535903931e-01
2.000333388898149600e+00 2.367434799671173096e-01
2.050341723620603407e+00 2.512484192848205566e-01
