time(ns) Rg
0.000000000000000000e+00 1.982114988173104830e+00
5.000833472245374417e-02 1.976048787516490934e+00
1.000166694449074883e-01 1.978785540899573148e+00
1.500250041673612256e-01 1.954494538355632249e+00
2.000333388898149767e-01 1.962493152610091496e+00
2.500416736122687000e-01 1.958665671032369993e+00
3.000500083347224511e-01 1.964833770072156982e+00
3.500583430571762023e-01 1.969446027807819410e+00
4.000666777796299534e-01 1.965408545786802463e+00
4.500750125020837045e-01 1.968512917582754485e+00
5.000833472245374001e-01 1.972523099166987759e+00
5.500916819469912067e-01 1.959883255302883320e+00
6.001000166694449023e-01 1.951309472478079066e+00
6.501083513918987089e-01 1.958112827001917911e+00
7.001166861143524045e-01 1.978544365938318172e+00
7.501250208368062111e-01 1.967036868256897941e+00
8.001333555592599067e-01 1.975928194740311783e+00
8.501416902817136023e-01 1.985373522560821113e+00
9.001500250041674089e-01 1.974309266163299492e+00
9.501583597266211045e-01 1.971825897679947870e+00
1.000166694449074800e+00 1.988023548867975387e+00
1.050175029171528607e+00 1.976807272309623054e+00
1.100183363893982413e+00 1.956302817146042816e+00
1.150191698616436220e+00 1.951877016235231910e+00
1.200200033338889805e+00 1.963989184938722765e+00
1.250208368061343611e+00 1.965317385304994779e+00
1.300216702783797418e+00 1.984153502622573395e+00
1.350225037506251002e+00 1.972308080338471603e+00
1.400233372228704809e+00 1.987808321049277849e+00
1.450241706951158616e+00 1.989327004412416500e+00
1.500250041673612422e+00 1.985610395439873388e+00
1.550258376396066007e+00 1.986141074755041647e+00
1.600266711118519813e+00 1.987476910495349358e+00
1.650275045840973620e+00 1.984423041758319517e+00
1.700283380563427205e+00 1.975751648293782026e+00
1.750291715285881011e+00 1.978616439608588573e+00
1.800300050008334818e+00 1.965878118050446988e+00
1.850308384730788624e+00 1.979482597888700068e+00
1.900316719453242209e+00 1.975722108653066966e+00
1.950325054175696016e+00 1.973037141525803007e+00
2.000333388898149600e+00 1.966176518538707674e+00
2.050341723620603407e+00 1.960381410477601838e+00
2.100350058343057214e+00 1.962824333558312651e+00
2.150358393065511020e+00 1.953703842936412860e+00
2.200366727787964827e+00 1.972405179790122975e+00
2.250375062510418633e+00 1.964027409138191960e+00
2.300383397232872440e+00 1.950924875908052636e+00
2.350391731955325803e+00 1.971961676013437748e+00
2.400400066677779609e+00 1.954260254500193472e+00
2.450408401400233416e+00 1.970472469605762944e+00
2.500416736122687222e+00 1.954830542323348075e+00
2.550425070845141029e+00 1.956484938536912743e+00
2.600433405567594836e+00 1.965089090485164780e+00
2.650441740290048642e+00 1.964316279919216424e+00
2.700450075012502005e+00 1.958176756637905358e+00
2.750458409734955811e+00 1.953477706712201556e+00
2.800466744457409618e+00 1.935908315036805716e+00
2.850475079179863425e+00 1.954993512947666323e+00
2.900483413902317231e+00 1.945190970508817729e+00
2.950491748624771038e+00 1.941392661203968029e+00
3.000500083347224844e+00 1.955231828376640779e+00
3.050508418069678207e+00 1.938359374529705859e+00
3.100516752792132014e+00 1.951892131574882727e+00
3.150525087514585820e+00 1.967661847213550308e+00
3.200533422237039627e+00 1.948790917313800941e+00
3.250541756959493433e+00 1.947529839141345365e+00
3.300550091681947240e+00 1.928339339185741963e+00
3.350558426404401047e+00 1.936602937292831950e+00
3.400566761126854409e+00 1.943600175840215938e+00
3.450575095849308216e+00 1.948429256714614644e+00
3.500583430571762023e+00 1.941087472794823521e+00
3.550591765294215829e+00 1.946696856964019506e+00
3.600600100016669636e+00 1.957920788221063413e+00
3.650608434739123442e+00 1.940476580464929102e+00
3.700616769461577249e+00 1.943523122015716087e+00
3.750625104184030612e+00 1.949061007296820414e+00
3.800633438906484418e+00 1.951624952196951090e+00
3.850641773628938225e+00 1.931592334508557052e+00
3.900650108351392031e+00 1.937135803156305514e+00
3.950658443073845838e+00 1.949728761757591133e+00
4.000666777796299201e+00 1.937288105274782124e+00
4.050675112518753451e+00 1.935742808350471522e+00
4.100683447241206814e+00 1.928254536029866406e+00
4.150691781963661064e+00 1.919936336809486388e+00
4.200700116686114427e+00 1.928447549736852062e+00
4.250708451408568678e+00 1.920094871287688409e+00
4.300716786131022040e+00 1.932245352579991193e+00
4.350725120853475403e+00 1.929873651638207344e+00
4.400733455575929653e+00 1.917737492045797909e+00
4.450741790298383016e+00 1.934245078760481462e+00
4.500750125020837267e+00 1.928466005124036320e+00
4.550758459743290629e+00 1.925076368577486097e+00
4.600766794465744880e+00 1.927068057202859563e+00
4.650775129188198243e+00 1.929930918519761729e+00
4.700783463910651605e+00 1.923954675350785237e+00
4.750791798633105856e+00 1.916705977682318984e+00
4.800800133355559218e+00 1.926970817598088859e+00
4.850808468078013469e+00 1.908495338406900776e+00
4.900816802800466832e+00 1.906461756565918542e+00
4.950825137522921082e+00 1.915685427232352023e+00
5.000833472245374445e+00 1.907145881130415388e+00
5.050841806967827807e+00 1.911906566909094662e+00
5.100850141690282058e+00 1.906197962732421036e+00
5.150858476412735421e+00 1.915013407976920989e+00
5.200866811135189671e+00 1.908464826670332348e+00
5.250875145857643034e+00 1.933741151125546898e+00
5.300883480580097284e+00 1.912112951108404291e+00
5.350891815302550647e+00 1.910640686773782404e+00
5.400900150025004010e+00 1.917285775678556625e+00
5.450908484747458260e+00 1.928087606075701288e+00
5.500916819469911623e+00 1.920674116936857523e+00
5.550925154192365873e+00 1.926781505860065913e+00
5.600933488914819236e+00 1.929983177693527452e+00
5.650941823637273487e+00 1.923415912101920089e+00
5.700950158359726849e+00 1.926467552273797734e+00
5.750958493082180212e+00 1.908462190651984303e+00
5.800966827804634462e+00 1.920163564028170899e+00
5.850975162527087825e+00 1.926154562016825444e+00
5.900983497249542076e+00 1.918284543965556033e+00
5.950991831971995438e+00 1.902370741935761833e+00
6.001000166694449689e+00 1.906524858305283399e+00
6.051008501416903052e+00 1.916233697444796436e+00
6.101016836139356414e+00 1.922601680159096826e+00
6.151025170861810665e+00 1.928510418520733571e+00
6.201033505584264027e+00 1.923000071462008576e+00
6.251041840306718278e+00 1.926378393119396737e+00
6.301050175029171641e+00 1.921300961624934134e+00
6.351058509751625891e+00 1.919140598804643050e+00
6.401066844474079254e+00 1.922812881997822521e+00
6.451075179196532616e+00 1.919236689543245999e+00
6.501083513918986867e+00 1.921073802559218002e+00
6.551091848641440230e+00 1.911133095055534081e+00
6.601100183363894480e+00 1.919979262678231713e+00
6.651108518086347843e+00 1.940491150813891785e+00
6.701116852808802093e+00 1.926706993328237472e+00
6.751125187531255456e+00 1.931338902428284543e+00
6.801133522253708819e+00 1.917767701331440477e+00
6.851141856976163069e+00 1.919889228754360522e+00
6.901150191698616432e+00 1.919297788886014322e+00
6.951158526421070682e+00 1.924569354831735080e+00
7.001166861143524045e+00 1.910902740412140810e+00
7.051175195865978296e+00 1.922490360657484132e+00
7.101183530588431658e+00 1.916976119185137106e+00
7.151191865310885021e+00 1.927416245323810617e+00
7.201200200033339271e+00 1.926385344052469195e+00
7.251208534755792634e+00 1.919091993103560601e+00
7.301216869478246885e+00 1.896222015593781229e+00
7.351225204200700247e+00 1.914758033967294937e+00
7.401233538923154498e+00 1.905682500010397185e+00
7.451241873645607861e+00 1.920351681980923431e+00
7.501250208368061223e+00 1.919167196911085504e+00
7.551258543090515474e+00 1.926496325000198739e+00
7.601266877812968836e+00 1.914776685163844805e+00
7.651275212535423087e+00 1.920376758496688874e+00
7.701283547257876450e+00 1.917877037675067564e+00
7.751291881980330700e+00 1.922066863872229137e+00
7.801300216702784063e+00 1.919231545851327825e+00
7.851308551425237425e+00 1.929884781808715921e+00
7.901316886147691676e+00 1.925680804542349467e+00
7.951325220870145039e+00 1.921721607108431984e+00
8.001333555592598401e+00 1.925382903197695006e+00
8.051341890315052652e+00 1.922649003292475234e+00
8.101350225037506902e+00 1.922467180469940695e+00
8.151358559759961153e+00 1.935562138891213424e+00
8.201366894482413628e+00 1.928112239720390919e+00
8.251375229204867878e+00 1.927222890187080484e+00
8.301383563927322129e+00 1.917627999472288014e+00
8.351391898649774603e+00 1.919794085490561963e+00
8.401400233372228854e+00 1.913698527364095181e+00
8.451408568094683105e+00 1.911120971605361207e+00
8.501416902817137355e+00 1.918483231921018106e+00
8.551425237539589830e+00 1.932509501390810680e+00
8.601433572262044081e+00 1.930407938280593871e+00
8.651441906984498331e+00 1.912713780751632786e+00
8.701450241706950806e+00 1.938072082557191100e+00
8.751458576429405056e+00 1.931591958646229124e+00
8.801466911151859307e+00 1.915459972915540376e+00
8.851475245874313558e+00 1.924361738585607995e+00
8.901483580596766032e+00 1.909812227510239824e+00
8.951491915319220283e+00 1.918909516026574780e+00
9.001500250041674533e+00 1.924882980680979960e+00
9.051508584764127008e+00 1.928400767382917325e+00
9.101516919486581259e+00 1.931942870216460051e+00
9.151525254209035509e+00 1.914822606547398554e+00
9.201533588931489760e+00 1.920926456651557146e+00
9.251541923653942234e+00 1.894014020528352882e+00
9.301550258376396485e+00 1.925470633581753077e+00
9.351558593098850736e+00 1.909882332917092640e+00
9.401566927821303210e+00 1.913312898016134911e+00
9.451575262543757461e+00 1.911966281906093856e+00
9.501583597266211711e+00 1.913090135380091095e+00
