time(ns) rmsd
0.000000000000000000e+00 0.000000000000000000e+00
1.000166694449074883e-01 1.435075551271438599e-01
2.000333388898149767e-01 1.585132181644439697e-01
3.000500083347224511e-01 1.799732148647308350e-01
4.000666777796299534e-01 1.946983337402343750e-01
5.000833472245374001e-01 1.953720748424530029e-01
6.001000166694449023e-01 1.922547519207000732e-01
7.001166861143524045e-01 1.899708807468414307e-01
8.001333555592599067e-01 1.908636391162872314e-01
9.001500250041674089e-01 2.049978524446487427e-01
1.000166694449074800e+00 1.868716478347778320e-01
1.100183363893982413e+00 2.028439044952392578e-01
1.200200033338889805e+00 2.229373902082443237e-01
1.300216702783797418e+00 2.033054530620574951e-01
1.400233372228704809e+00 2.053091526031494141e-01
1.500250041673612422e+00 1.985098719596862793e-01
1.600266711118519813e+00 2.273059338331222534e-01
1.700283380563427205e+00 2.133985012769699097e-01
1.800300050008334818e+00 2.136996984481811523e-01
1.900316719453242209e+00 2.319994270801544189e-01
2.000333388898149600e+00 2.325848788022994995e-01
2.100350058343057214e+00 2.506002485752105713e-01
2.200366727787964827e+00 2.747854590415954590e-01
2.300383397232872440e+00 2.635051310062408447e-01
2.400400066677779609e+00 2.314779907464981079e-01
2.500416736122687222e+00 2.329638451337814331e-01
2.600433405567594836e+00 2.394776791334152222e-01
2.700450075012502005e+00 2.235517203807830811e-01
2.800466744457409618e+00 2.193126976490020752e-01
2.900483413902317231e+00 2.076677232980728149e-01
3.000500083347224844e+00 2.260086089372634888e-01
3.100516752792132014e+00 2.422549873590469360e-01
3.200533422237039627e+00 2.496708184480667114e-01
3.300550091681947240e+00 2.273503988981246948e-01
3.400566761126854409e+00 2.192309796810150146e-01
3.500583430571762023e+00 2.237181365489959717e-01
3.600600100016669636e+00 2.198337167501449585e-01
3.700616769461577249e+00 2.260309755802154541e-01
3.800633438906484418e+00 2.112693041563034058e-01
3.900650108351392031e+00 2.227095514535903931e-01
4.000666777796299201e+00 2.367434799671173096e-01
4.100683447241206814e+00 2.512484192848205566e-01
4.200700116686114427e+00 2.430766969919204712e-01
4.300716786131022040e+00 2.453915029764175415e-01
4.400733455575929653e+00 2.495622187852859497e-01
4.500750125020837267e+00 2.467535734176635742e-01
4.600766794465744880e+00 2.361644357442855835e-01
4.700783463910651605e+00 2.405095547437667847e-01
4.800800133355559218e+00 2.536888122558593750e-01
4.900816802800466832e+00 2.481405735015869141e-01
5.000833472245374445e+00 2.654975056648254395e-01
5.100850141690282058e+00 2.444930225610733032e-01
5.200866811135189671e+00 2.350998073816299438e-01
5.300883480580097284e+00 2.340185642242431641e-01
5.400900150025004010e+00 2.484597712755203247e-01
5.500916819469911623e+00 2.563614845275878906e-01
5.600933488914819236e+00 2.657414078712463379e-01
5.700950158359726849e+00 2.567679882049560547e-01
5.800966827804634462e+00 2.553747594356536865e-01
5.900983497249542076e+00 2.573774456977844238e-01
6.001000166694449689e+00 2.554817795753479004e-01
6.101016836139356414e+00 2.556211352348327637e-01
6.201033505584264027e+00 2.654153108596801758e-01
6.301050175029171641e+00 2.455197274684906006e-01
6.401066844474079254e+00 2.697252631187438965e-01
6.501083513918986867e+00 2.624148428440093994e-01
6.601100183363894480e+00 2.679958939552307129e-01
6.701116852808802093e+00 2.795051932334899902e-01
6.801133522253708819e+00 2.850095033645629883e-01
6.901150191698616432e+00 2.797237634658813477e-01
7.001166861143524045e+00 3.071293532848358154e-01
7.101183530588431658e+00 2.971956729888916016e-01
7.201200200033339271e+00 2.837072312831878662e-01
7.301216869478246885e+00 2.988575696945190430e-01
7.401233538923154498e+00 3.050007224082946777e-01
7.501250208368061223e+00 3.184529244899749756e-01
7.601266877812968836e+00 2.893682420253753662e-01
7.701283547257876450e+00 3.058799505233764648e-01
7.801300216702784063e+00 2.944918572902679443e-01
7.901316886147691676e+00 2.856318950653076172e-01
8.001333555592598401e+00 3.126389086246490479e-01
8.101350225037506902e+00 3.259845077991485596e-01
8.201366894482413628e+00 3.257709145545959473e-01
8.301383563927322129e+00 3.227500319480895996e-01
8.401400233372228854e+00 3.177300095558166504e-01
8.501416902817137355e+00 3.182775676250457764e-01
8.601433572262044081e+00 3.039655983448028564e-01
8.701450241706950806e+00 3.140143454074859619e-01
8.801466911151859307e+00 3.251243233680725098e-01
8.901483580596766032e+00 3.250699043273925781e-01
9.001500250041674533e+00 3.216070234775543213e-01
9.101516919486581259e+00 3.209864199161529541e-01
9.201533588931489760e+00 3.332425653934478760e-01
9.301550258376396485e+00 3.242448568344116211e-01
9.401566927821303210e+00 3.350465893745422363e-01
9.501583597266211711e+00 3.317384421825408936e-01
9.601600266711118437e+00 3.317044973373413086e-01
9.701616936156026938e+00 3.435404300689697266e-01
9.801633605600933663e+00 3.342887759208679199e-01
9.901650275045842164e+00 3.366772234439849854e-01
1.000166694449074889e+01 3.398859500885009766e-01
1.010168361393565561e+01 3.573818504810333252e-01
1.020170028338056412e+01 3.447013199329376221e-01
1.030171695282547084e+01 3.291606903076171875e-01
1.040173362227037934e+01 3.339951932430267334e-01
1.050175029171528607e+01 3.164708912372589111e-01
1.060176696116019457e+01 3.341987431049346924e-01
1.070178363060510129e+01 3.294794559478759766e-01
1.080180030005000802e+01 3.223711550235748291e-01
1.090181696949491652e+01 3.148808181285858154e-01
1.100183363893982325e+01 3.076368272304534912e-01
1.110185030838473175e+01 3.192569613456726074e-01
1.120186697782963847e+01 3.096650242805480957e-01
1.130188364727454697e+01 3.215984702110290527e-01
1.140190031671945370e+01 3.119105994701385498e-01
1.150191698616436042e+01 3.240343630313873291e-01
1.160193365560926892e+01 3.111097216606140137e-01
1.170195032505417565e+01 3.028123676776885986e-01
1.180196699449908415e+01 3.066143393516540527e-01
1.190198366394399088e+01 3.489912152290344238e-01
1.200200033338889938e+01 3.299539387226104736e-01
1.210201700283380610e+01 3.197616934776306152e-01
1.220203367227871283e+01 3.028586506843566895e-01
