time(ns) Rg
0.000000000000000000e+00 1.982114988151661983e+00
1.000166694449074883e-01 1.976048787556847541e+00
2.000333388898149767e-01 1.978785541003092341e+00
3.000500083347224511e-01 1.954494538401646109e+00
4.000666777796299534e-01 1.962493152731578538e+00
5.000833472245374001e-01 1.958665671222744153e+00
6.001000166694449023e-01 1.964833770078847186e+00
7.001166861143524045e-01 1.969446027965670254e+00
8.001333555592599067e-01 1.965408545947429975e+00
9.001500250041674089e-01 1.968512917524325223e+00
1.000166694449074800e+00 1.972523099255397483e+00
1.100183363893982413e+00 1.959883255255487011e+00
1.200200033338889805e+00 1.951309472297990011e+00
1.300216702783797418e+00 1.958112827179367299e+00
1.400233372228704809e+00 1.978544365998555099e+00
1.500250041673612422e+00 1.967036868154653728e+00
1.600266711118519813e+00 1.975928194824577711e+00
1.700283380563427205e+00 1.985373522516240330e+00
1.800300050008334818e+00 1.974309266159970599e+00
1.900316719453242209e+00 1.971825897521398474e+00
2.000333388898149600e+00 1.988023549038815174e+00
2.100350058343057214e+00 1.976807272327466114e+00
2.200366727787964827e+00 1.956302817233281699e+00
2.300383397232872440e+00 1.951877015489942968e+00
2.400400066677779609e+00 1.963989184866661297e+00
2.500416736122687222e+00 1.965317385267093320e+00
2.600433405567594836e+00 1.984153502707870054e+00
2.700450075012502005e+00 1.972308080336250047e+00
2.800466744457409618e+00 1.987808320810886320e+00
2.900483413902317231e+00 1.989327004345678329e+00
3.000500083347224844e+00 1.985610395353260227e+00
3.100516752792132014e+00 1.986141074642309157e+00
3.200533422237039627e+00 1.987476910615447068e+00
3.300550091681947240e+00 1.984423042240000878e+00
3.400566761126854409e+00 1.975751648218601275e+00
3.500583430571762023e+00 1.978616439635273450e+00
3.600600100016669636e+00 1.965878118567653488e+00
3.700616769461577249e+00 1.979482598015093187e+00
3.800633438906484418e+00 1.975722108720930237e+00
3.900650108351392031e+00 1.973037141483941381e+00
4.000666777796299201e+00 1.966176518390288175e+00
4.100683447241206814e+00 1.960381410521186529e+00
4.200700116686114427e+00 1.962824333515675201e+00
4.300716786131022040e+00 1.953703842925311296e+00
4.400733455575929653e+00 1.972405179660610575e+00
4.500750125020837267e+00 1.964027409049622808e+00
4.600766794465744880e+00 1.950924875906031142e+00
4.700783463910651605e+00 1.971961675965220762e+00
4.800800133355559218e+00 1.954260254505126193e+00
4.900816802800466832e+00 1.970472469511590941e+00
5.000833472245374445e+00 1.954830542326261966e+00
5.100850141690282058e+00 1.956484938549901909e+00
5.200866811135189671e+00 1.965089090500327096e+00
5.300883480580097284e+00 1.964316279798762110e+00
5.400900150025004010e+00 1.958176756863905466e+00
5.500916819469911623e+00 1.953477706672836822e+00
5.600933488914819236e+00 1.935908315098256116e+00
5.700950158359726849e+00 1.954993512956631374e+00
5.800966827804634462e+00 1.945190970395288765e+00
5.900983497249542076e+00 1.941392661110078022e+00
6.001000166694449689e+00 1.955231828474348177e+00
6.101016836139356414e+00 1.938359374711450034e+00
6.201033505584264027e+00 1.951892131567699362e+00
6.301050175029171641e+00 1.967661847339589265e+00
6.401066844474079254e+00 1.948790917123586208e+00
6.501083513918986867e+00 1.947529839021428177e+00
6.601100183363894480e+00 1.928339339148931630e+00
6.701116852808802093e+00 1.936602937299619631e+00
