#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
5000,-569416.3444247036,109638.50333320821,-459777.8410914954,298.6779238551903,508.31637784293986,0
10000,-573842.8282746831,109911.33578251174,-463931.49249217135,299.42117578805045,495.5689008945703,136
15000,-575750.0304609062,110651.09027186244,-465098.94018904376,301.4364197792086,480.97566953817045,132
20000,-576904.8813981605,110980.82685519732,-465924.05454296316,302.3346903240942,468.9515029181291,133
25000,-577958.3053289112,109745.95908458746,-468212.3462443237,298.97065551197613,456.6622997870557,131
30000,-579876.4293497978,109901.64611252153,-469974.78323727625,299.39477912604275,447.2072368234225,131
35000,-579811.5686341524,110373.30101606331,-469438.2676180891,300.6796644818547,439.29319549728723,130
40000,-581652.1006095666,109850.6548843736,-471801.44572519296,299.2558684906817,435.67466653117634,129
45000,-582877.1953512989,109411.68512211743,-473465.5102291815,298.06002420934,433.0078212011988,129
50000,-583513.6791111254,110255.91314752994,-473257.7659635955,300.3598756869203,432.1082834998961,128
55000,-583408.6250415114,110362.97438750434,-473045.65065400704,300.65153261317124,431.9289474139085,128
60000,-583723.0418252177,110208.8093996825,-473514.23242553516,300.2315553506776,432.35404481698293,128
65000,-582720.0836627637,110534.7139881546,-472185.3696746091,301.1193867502352,431.82275612479305,127
70000,-582808.1158130304,109376.73656777706,-473431.37924525334,297.964817130305,433.0951420716484,127
75000,-584232.1028537545,109289.16376931034,-474942.9390844442,297.72625074315965,432.15723337571205,126
80000,-583688.5592920701,109346.43590052321,-474342.1233915469,297.8822718555004,432.7272139166008,126
85000,-583238.8963220655,110473.29699702305,-472765.59932504245,300.9520741835463,430.80449466812587,126
90000,-583453.0688422541,109691.71474521064,-473761.35409704346,298.82288272984755,429.70053199749,125
95000,-583709.229024265,109633.82515491452,-474075.40386935044,298.6651795314563,429.7138569436383,125
100000,-584378.9544237107,110758.80308775294,-473620.15133595775,301.72985173280796,429.42098724791055,125
105000,-584406.3787237159,109500.97756640802,-474905.4011573079,298.3032752668231,429.7658336728395,125
110000,-582170.9638794265,111262.16314802661,-470908.80073139985,303.1011084827952,431.54124690830037,125
115000,-583347.6931523974,109688.81294670847,-473658.88020568894,298.81497763149497,432.031182047611,124
120000,-583819.5268507069,110551.38678758347,-473268.1400631234,301.1648068988771,431.23279734375024,124
125000,-584446.4044634169,110295.82485476311,-474150.5796086538,300.4686034193456,431.43794364542447,124
130000,-584145.764093345,110154.34472888899,-473991.41936445603,300.0831823402706,430.7869340812658,124
135000,-582766.1829887005,110630.41054947628,-472135.7724392242,301.3800839449859,431.65811861187933,124
140000,-583116.0632921257,110056.57105906459,-473059.4922330611,299.81682667302744,431.0033593540335,124
145000,-584042.4252224113,109289.47699665814,-474752.94822575315,297.7271040391377,430.13023087214873,124
150000,-584298.1190284682,110202.75435369683,-474095.3646747713,300.2150601550221,429.8043747283366,124
155000,-583593.1757522803,110441.01900595344,-473152.15674632683,300.86414227034254,432.4090316605327,124
160000,-583078.0257563088,110535.89708228977,-472542.128674019,301.1226097429729,431.90635749429043,123
165000,-584530.8182077166,110172.41391254173,-474358.40429517487,300.13240652789705,431.7876196096218,123
170000,-583192.3355514021,110764.71713787329,-472427.6184135288,301.74596282661,430.7762798433721,123
175000,-582604.2623638366,110652.42108692497,-471951.84127691167,301.4400451942574,430.04297163174675,123
180000,-582607.7435063506,110247.757084704,-472359.98642164655,300.3376568875239,430.52923031267363,123
185000,-583065.1150469817,110141.31120809828,-472923.8038388834,300.0476763381642,430.95832674767667,123
190000,-584436.8806917099,109613.76706865075,-474823.1136230592,298.61053716240133,431.4041133008493,123
195000,-584287.286955948,110337.06383082511,-473950.2231251229,300.5809469061467,431.3433735660998,123
200000,-582494.3025501091,110114.04267960344,-472380.25987050566,299.9733912354875,431.19160895592574,122
205000,-583701.7275834531,109936.6884878464,-473765.03909560665,299.4902417928139,430.6060768819516,122
210000,-583268.2458662209,109720.32843186424,-473547.91743435664,298.90083232112903,431.0507407989846,122
215000,-583715.0193871511,110161.02514669206,-473553.99424045905,300.1013811778983,430.7861447684746,122
220000,-583258.9257326997,109518.66909776663,-473740.25663493306,298.35147065161374,431.3973784715239,122
225000,-583982.6876872806,109823.90474038437,-474158.7829468962,299.1829955744467,432.4823643659512,122
230000,-583486.0731682698,111151.81083260698,-472334.26233566285,302.80048598741166,429.51453280100924,122
235000,-584086.6430233154,110404.83483431302,-473681.80818900233,300.7655691146225,430.24653403914573,121
240000,-583807.2254248932,110347.08622869884,-473460.13919619436,300.60824998761876,430.08561123413483,121
245000,-584641.963395142,109845.40411545779,-474796.5592796842,299.2415643118509,429.0865645050635,121
250000,-583236.8615243188,111323.248254762,-471913.6132695568,303.26751692785353,431.59397416058385,121
255000,-584648.2031875295,110251.80004221259,-474396.4031453169,300.34867073866366,430.68421362394673,121
260000,-582916.1320542837,109104.68340411468,-473811.44865016907,297.2236881324568,430.02518793180207,121
265000,-584387.0617464026,109312.83069714197,-475074.2310492607,297.79072434188527,431.3022999035093,121
270000,-583556.5153787415,110511.24114082388,-473045.2742379177,301.05544186687246,430.86130599992305,121
275000,-583619.201822482,109867.05078835753,-473752.15103412454,299.3005343189516,431.2813653680472,121
280000,-584396.3111027041,110019.47158214869,-474376.83952055546,299.7157600367229,432.3886994033468,121
285000,-582968.7867669272,109199.19370196597,-473769.59306496126,297.48115370054626,432.6929935737587,121
290000,-584637.8590034931,110369.26116831903,-474268.59783517406,300.6686591023551,431.70662631308204,121
295000,-583595.9216634133,110460.48798800152,-473135.43367541174,300.9171797978617,431.1738163386845,121
300000,-583683.440113903,109584.46588854445,-474098.9742253586,298.5307146969846,430.5744172091718,121
305000,-585036.7208806626,110041.87027465162,-474994.85060601094,299.7767787005176,430.3093274767882,121
310000,-583464.0527552222,110383.63290585467,-473080.4198493675,300.7078106832216,431.3036437154507,121
315000,-584816.1924783192,109720.0102259735,-475096.18225234566,298.8999654625719,430.5368297011689,121
320000,-585037.1824590373,109913.51811840537,-475123.6643406319,299.4271209216855,431.09753260019414,120
325000,-582659.3722427418,110430.02704902999,-472229.34519371175,300.83419790980145,432.83060354439766,120
330000,-583361.3106758054,110235.86868596019,-473125.44198984525,300.3052704343454,432.0135584839716,120
335000,-582799.8212317317,110091.12617193873,-472708.69505979295,299.91096193626123,432.19949532649014,120
340000,-583208.6445055269,110585.64848414843,-472622.99602137844,301.25814283549306,430.0976375145537,120
345000,-585181.5902209929,110959.62830204796,-474221.96191894496,302.27694108773204,431.11130570712294,120
350000,-583041.1111269863,110424.24504516815,-472616.8660818182,300.8184465372756,430.6234268348675,120
355000,-583604.2384723001,109752.13004867162,-473852.1084236285,298.98746649246937,432.1743971707893,120
360000,-583004.9951021774,110021.21946766338,-472983.775634514,299.72052163781007,431.98590519064436,120
365000,-584276.6823484949,111017.10823025415,-473259.57411824074,302.4335282819935,430.8364034066742,120
370000,-583082.2751451652,110112.09918724059,-472970.17595792457,299.9680967609524,431.60690210810367,120
375000,-583690.7214708556,110159.50302143252,-473531.2184494231,300.09723459436657,431.203721055369,120
380000,-583186.9732461199,111219.34308195073,-471967.6301641692,302.9844577802951,430.569482076307,120
385000,-583159.6347525581,109896.71807486878,-473262.9166776893,299.38135413381775,430.73167533644005,120
390000,-583897.0404816703,111264.25652310316,-472632.78395856713,303.1068112687938,430.2617853551531,120
395000,-583071.3766159564,109992.55156026117,-473078.82505569526,299.6424243380125,433.05584170903603,120
400000,-584429.242992498,109157.91757184925,-475271.32542064873,297.3687089984276,430.90193704512205,120
405000,-583876.6431997386,110630.44379530352,-473246.19940443506,301.38017451348475,430.09783158703596,120
410000,-583024.4260242665,110049.25472699461,-472975.1712972719,299.79689547361795,431.47210998754656,120
415000,-584051.4944899399,110085.66202800389,-473965.832461936,299.89607647981586,431.68633969013365,120
420000,-584046.6634145253,109833.90035403316,-474212.7630604922,299.21022569015895,431.1377091434707,120
425000,-582824.4797794977,110631.31994253388,-472193.15983696387,301.38256131946804,432.28827923828476,120
430000,-583502.4756950513,109689.29898961281,-473813.1767054384,298.81630171273616,431.9888149708748,120
435000,-582564.1817593859,109801.34589878644,-472762.8358605994,299.1215406314458,432.1829078744321,120
440000,-582851.1949603246,110327.91329475449,-472523.2816655701,300.5560189562692,430.9091026562736,120
445000,-583936.1477910564,109088.80039743171,-474847.3473936247,297.18041954235,433.05265114876437,120
450000,-582713.0577308382,109591.0043493707,-473122.0533814675,298.5485268144928,432.23904539372273,120
455000,-583308.5454301178,110354.94748527452,-472953.59794484323,300.6296656739108,433.03040692503646,120
460000,-583842.6584405536,110846.95605503465,-472995.70238551893,301.9699986196125,432.11138447068186,120
465000,-584452.2759235203,110483.57495664887,-473968.70096687146,300.9800734680055,432.3188888630877,120
