#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
5000,-647158.2160354871,123474.1738647471,-523684.04217074,298.8455049537792,575.364910052302,0
10000,-653157.018161254,124259.60758591283,-528897.4105753412,300.74649630818675,555.5693552005223,228
15000,-654620.1036517397,124066.71477640414,-530553.3888753355,300.2796363385649,545.028674600009,222
20000,-656511.8870265,124106.0402044194,-532405.8468220806,300.3748159783624,528.2532006808806,223
25000,-658797.6163299517,123642.5980642215,-535155.0182657302,299.2531433559077,514.7914331363809,223
30000,-659975.5284629352,125029.6221201932,-534945.906342742,302.61016848444956,505.22964785338564,221
35000,-660671.8954418912,123409.20126632089,-537262.6941755703,298.68825126762687,496.72749451774973,219
40000,-662628.2013656893,124726.56712574605,-537901.6342399432,301.87668212038176,489.883306627247,219
45000,-663300.8147922205,124133.92779952835,-539166.8869926921,300.4423125420682,486.80051750990697,218
50000,-663657.2691402994,124108.55468745716,-539548.7144528423,300.3809018012483,485.5694107502701,217
55000,-664997.1373754344,123941.56564537017,-541055.5717300642,299.9767369217253,486.564059527105,216
60000,-663048.917575689,123922.17166038358,-539126.7459153055,299.9297975087698,486.1840933368341,216
65000,-665552.9776100242,122826.1795982781,-542726.798011746,297.2771593823222,484.5673864539797,216
70000,-664787.815906731,123898.16815203454,-540889.6477546964,299.87170163050877,484.5914909534443,215
75000,-664839.7067054766,124218.97245158721,-540620.7342538894,300.6481467760027,484.384248190572,215
80000,-664612.0891202707,124919.83982489049,-539692.2492953802,302.3444615398486,485.3719218925566,214
85000,-663542.4197049094,124869.3655386855,-538673.054166224,302.2222982317172,485.322486610028,213
90000,-662977.4125343398,123047.46111952607,-539929.9514148138,297.8127287721343,486.4475889816059,213
95000,-664275.2820451725,124280.47205599991,-539994.8099891726,300.79699474768705,484.9695175848105,213
100000,-665218.7915712968,124244.29313463165,-540974.4984366652,300.7094306224408,484.520592279725,213
105000,-665406.1673446493,123215.72797774867,-542190.4393669006,298.21998636000524,484.092394470093,213
110000,-665860.4897252223,124806.5999257536,-541053.8897994687,302.0703861297507,485.42418101214724,212
115000,-665317.3741797204,123880.23188681668,-541437.1422929037,299.82829034806605,485.1424558538155,212
120000,-664777.7508890815,123915.40560600348,-540862.345283078,299.9134215746414,483.5969814954188,212
125000,-663931.9577936763,123543.83449590148,-540388.1232977748,299.01410512206644,485.9156103314424,212
130000,-664347.2343633692,123176.00511836831,-541171.2292450009,298.1238448139785,485.4623826777282,212
135000,-663662.8334528571,122208.91763011715,-541453.91582274,295.78319543188604,485.37276947944156,212
140000,-663019.6525541795,124126.33129893185,-538893.3212552477,300.42392667249254,485.8864195455812,212
145000,-663531.4370377483,124535.49082618178,-538995.9462115665,301.4142186639302,485.46946316435276,212
150000,-665231.8259574212,123681.256611152,-541550.5693462692,299.3467089382203,485.18701818030013,212
155000,-664806.7527974164,124479.68772940285,-540327.0650680135,301.2791579940516,485.42222559761376,212
160000,-662912.1599257295,124437.5690657616,-538474.5908599679,301.17721786430735,487.9170298510428,212
165000,-664783.8169857357,123436.18205964495,-541347.6349260907,298.7535530919081,485.89924414780535,212
170000,-661863.9592453823,124280.83223248972,-537583.1270128926,300.79786648565135,485.9153927361544,212
175000,-665363.3994199247,124580.07876225899,-540783.3206576657,301.5221351929887,484.8027438507764,211
180000,-665083.6783684972,123983.64900800309,-541100.0293604941,300.0785916121642,484.98499766106835,211
185000,-665321.3940003952,123399.70253011954,-541921.6914702756,298.66526140239705,483.9099776750093,212
190000,-666056.6191669111,123784.44386238305,-542272.1753045281,299.59645384627464,482.98634414864193,211
195000,-666162.028755398,123117.5544561753,-543044.4742992227,297.98237622090187,484.03863454702696,211
200000,-664709.954197078,124941.54454259045,-539768.4096544876,302.3969936371925,484.7945710377906,211
205000,-664405.7424625512,124164.23629585317,-540241.5061666981,300.51566843184725,484.00685118146,211
210000,-665823.9950353708,123996.02492516564,-541827.9701102052,300.10854514088965,485.4607860453995,211
215000,-664341.5954427295,125346.6300062132,-538994.9654365163,303.37742514069373,485.9699289774243,211
220000,-665894.4223503075,123906.86553489859,-541987.5568154089,299.8927519740132,485.2473408335656,211
225000,-664384.0669729537,124643.79241688503,-539740.2745560687,301.6763418476534,485.15100342849,211
230000,-665454.5493721007,122848.72660662292,-542605.8227654778,297.3317300822759,483.8125732466003,211
235000,-664153.3184004212,124932.23904363165,-539221.0793567896,302.37447146556633,483.95838446052744,211
240000,-664892.9854035638,123297.78358087933,-541595.2018226845,298.41858617553214,485.35004559908737,211
245000,-664756.1262333896,122981.37425775756,-541774.751975632,297.6527782257337,483.9869583820035,211
250000,-665623.6249132226,124063.62044901546,-541560.0044642072,300.2721471138791,484.3964311391355,211
255000,-664996.6122298436,123380.74051637482,-541615.8717134688,298.6193674928035,483.8403832098003,211
260000,-665301.3556801877,124129.45772507798,-541171.8979551097,300.431493586051,481.6960303323347,211
265000,-665711.6471867305,123812.9059299553,-541898.7412567752,299.6653408101589,483.2785468331981,211
270000,-662902.8436730443,123887.76073305064,-539015.0829399937,299.84651247326104,485.40863233008184,211
275000,-664464.123115893,125388.02211514377,-539076.1010007493,303.4776067844114,485.25470037881195,211
280000,-664215.4339200049,124436.3690724987,-539779.0648475061,301.17431351126436,485.6570199385318,211
285000,-665032.7002656413,123536.69991997612,-541496.0003456653,298.99683725237105,483.90161373027246,211
290000,-664051.5802403716,124087.43890754163,-539964.1413328301,300.32979511461224,485.07432411701626,211
295000,-663657.2331016613,123830.92908795987,-539826.3040137014,299.70896239989014,485.4625714417999,211
300000,-664816.2884179186,124399.3550907633,-540416.9333271553,301.0847282829057,484.4465585305776,211
305000,-664931.1459003314,123695.67252148205,-541235.4733788494,299.381599878302,483.87253448060557,211
310000,-665258.5986110349,123925.51211026352,-541333.0865007713,299.93788242563863,484.6238861792167,211
315000,-664986.4246984175,123482.10957538942,-541504.3151230281,298.86471181607146,483.6454133912305,211
320000,-665672.6122164284,123480.28712262533,-542192.325093803,298.8603009194484,483.58045413621204,211
325000,-664199.4955477882,123766.96024909522,-540432.535298693,299.5541381208247,485.5355253666908,211
330000,-665866.7452332755,123981.3131078548,-541885.4321254207,300.072938014837,486.2099555717111,211
335000,-663526.2389496337,124149.86458858114,-539376.3743610525,300.4808844767712,486.6991211895213,211
340000,-665303.3565652845,124180.42144043444,-541122.9351248501,300.5548414633707,485.93078387053947,211
345000,-664299.7112404266,124590.59815728542,-539709.1130831412,301.5475953667245,484.3091113041515,211
350000,-663471.2038911646,124589.33249093138,-538881.8714002332,301.54453206458743,484.12415132935433,211
355000,-664345.6485979748,123004.54845694575,-541341.1001410291,297.7088669205719,484.8401702884079,211
360000,-663422.1932998672,124813.68219019065,-538608.5111096766,302.0875273895435,484.0141624788939,211
365000,-664724.931092286,122896.48927920638,-541828.4418130796,297.4473304508338,484.94726493092764,211
370000,-663053.0425824183,123938.45993783709,-539114.5826445812,299.96922015358746,485.75306636298956,211
375000,-663384.668416027,123834.0654347726,-539550.6029812543,299.7165533245153,484.31548793926277,211
380000,-666336.3065976147,124146.60512550315,-542189.7014721115,300.4729955728901,484.2204788690947,211
385000,-664842.130165725,124380.34756471461,-540461.7826010104,301.0387242195283,484.91754655856863,211
390000,-664893.1622096626,123834.89307370008,-541058.2691359625,299.71855646545936,484.987410443118,211
395000,-664211.0787026277,123868.59742980893,-540342.4812728188,299.80013138112975,485.8600213626162,210
400000,-665068.8972961009,123506.39250691177,-541562.5047891891,298.9234839844158,485.13900199487944,211
405000,-664810.2026008014,123460.87122693844,-541349.3313738629,298.8133084758541,485.654222880188,211
410000,-664669.9478223161,124268.12687903875,-540401.8209432773,300.7671156197105,484.87013322500746,210
415000,-664721.2552862335,124091.20441638207,-540630.0508698514,300.3389088049946,485.57148437914935,210
420000,-664281.7535769339,123386.1903863782,-540895.5631905557,298.632557855631,485.4969130787543,210
425000,-665500.2069007535,124064.82484337898,-541435.3820573746,300.27506211894024,485.5038973932814,211
430000,-665439.8132560104,123932.1655823089,-541507.6476737015,299.9539858758652,484.8529059209901,210
435000,-664513.5705849119,124518.33302365197,-539995.2375612599,301.37269150079624,485.44948342052743,210
440000,-665075.9981603329,124260.2793871373,-540815.7187731956,300.74812227392414,484.8626206377838,210
445000,-663568.4689830886,124057.30010187608,-539511.1688812126,300.2568499284578,485.76409099504605,210
450000,-664864.0645099664,123506.95522560581,-541357.1092843607,298.9248459368549,483.66177606250255,210
455000,-664777.5070467838,123682.08401798984,-541095.423028794,299.34871151743596,484.1162426335547,210
460000,-665155.1882414203,123878.62038751406,-541276.5678539062,299.8243900237493,486.18099235811013,210
465000,-664419.6100193337,124132.53288167116,-540287.0771376626,300.43893641151107,483.09879074125973,210
470000,-665354.5477891997,124383.87858563615,-540970.6692035636,301.0472703769738,484.0729894392171,210
475000,-664045.2373924786,123631.90641821662,-540413.330974262,299.22726628178674,485.34974817552273,210
480000,-664594.2286526067,123852.86029151146,-540741.3683610952,299.7620426627053,486.70066959126217,210
485000,-664488.1651270431,123769.64027360163,-540718.5248534415,299.5606246050168,486.0719453141195,210
490000,-665033.2494660588,123308.97387895151,-541724.2755871073,298.4456701411363,484.9370574466501,210
495000,-665119.3710295833,125025.77863175608,-540093.5923978272,302.6008660594417,484.84428426285945,210
500000,-664648.1077265437,124457.97771512752,-540190.1300114162,301.2266130773651,484.9208961751323,210
505000,-665653.5034582731,124807.55480999831,-540845.9486482749,302.07269724352744,483.633718455355,210
510000,-664273.7790698893,123825.33318204572,-540448.4458878436,299.6954185852102,485.90492701584213,210
515000,-665583.3932349854,124458.1367732333,-541125.2564617521,301.2269980469377,487.353478751609,210
520000,-663205.0977987954,122978.90765160759,-540226.1901471878,297.6468082796524,485.6699152037711,210
525000,-665389.7302910024,122396.41577827331,-542993.3145127292,296.2369986606082,485.91223824357854,210
530000,-663542.3194217505,123184.37506351375,-540357.9443582367,298.1441026574217,484.9639370899367,210
535000,-665729.6331946854,123438.94736429298,-542290.6858303924,298.7602459802913,484.2835086763145,210
540000,-664051.5312595875,123488.83394652093,-540562.6973130666,298.8809868639085,485.0816405288787,210
545000,-663729.9659056845,124042.85390496848,-539687.112000716,300.2218856855365,485.01672380074933,210
550000,-664933.440727835,124123.69128870434,-540809.7494391308,300.4175370351714,484.312165647397,210
555000,-663858.00021835,123562.73251405644,-540295.2677042936,299.0598441426355,483.33741128873874,210
560000,-666018.952514912,123934.09424085272,-542084.8582740593,299.9586538231644,483.9756154382509,210
565000,-665541.0074692704,124604.40489917167,-540936.6025700987,301.58101193167585,483.74451196898343,210
570000,-665627.3933431227,123123.85545330774,-542503.5378898149,297.99762657335054,484.7290599113051,210
575000,-665075.8869582885,123626.96667841962,-541448.9202798689,299.21531059107207,483.7995587453382,210
580000,-664677.9006029442,124430.9418492117,-540246.9587537325,301.161177960461,483.9833346093558,210
585000,-664645.7448984212,124306.9687188355,-540338.7761795857,300.8611248271754,484.9750638927202,210
590000,-663681.945257592,124678.02979884902,-539003.915458743,301.75920684995367,486.0299333164938,210
595000,-665105.7234356324,125079.86448389228,-540025.8589517402,302.7317704687331,485.57625173458683,210
600000,-665906.7686838922,123399.19826613506,-542507.5704177571,298.6640409283469,485.64432857901966,210
605000,-664741.7216363321,122970.67321568623,-541771.0484206459,297.62687841024,486.1009679230144,210
610000,-664747.3836056488,124285.30763130661,-540462.0759743422,300.8086983282743,485.6645536204941,210
615000,-662973.5828256551,123871.03888956178,-539102.5439360933,299.8060404651903,485.2980974137738,210
620000,-665008.4883347522,123829.43429551489,-541179.0540392373,299.70534454209013,484.6776070113958,210
625000,-663794.4115463514,124527.53062468627,-539266.8809216651,301.3949525262353,483.53602202050115,210
630000,-665414.6716931541,123957.92461971263,-541456.7470734415,300.0163306747741,482.86752911809896,210
635000,-665705.386552183,123637.16885697498,-542068.217695208,299.24000300331164,483.28012359017566,210
640000,-665920.440710729,123700.51319540292,-542219.9275153261,299.39331579910487,484.42387032760803,210
645000,-665738.3404547861,124273.17029356142,-541465.1701612247,300.77932223517143,485.0354587821799,210
650000,-665973.716040635,123389.81358579424,-542583.9024548407,298.6413271134048,483.49083169103665,210
655000,-665235.7444785065,124148.6173709181,-541087.1271075883,300.4778658261447,483.85788308978294,210
660000,-665059.0839128932,125329.4856811664,-539729.5982317268,303.3359305972169,483.3620761553875,210
665000,-664918.4750284911,123288.38564986008,-541630.089378631,298.39584028986985,483.93509743486356,210
670000,-666092.2789347144,124293.39505761684,-541798.8838770975,300.82827238917963,484.82072134964505,210
675000,-664350.458936817,124063.84978644262,-540286.6091503744,300.27270218104076,484.6447116021236,210
680000,-665348.4285344812,124067.97014088099,-541280.4583936002,300.28267470698836,485.13433469187197,210
685000,-663636.221057931,124574.2263553981,-539061.9947025329,301.50797056706904,484.2704275795297,210
690000,-663699.7047254546,124337.938861987,-539361.7658634676,300.9360821059237,485.54163471105244,210
695000,-665078.4877909869,122761.58035696193,-542316.907434025,297.12080933529205,484.64040929931696,210
700000,-662415.1986446576,125288.5975006643,-537126.6011439933,303.23696861540043,486.70518205280246,210
705000,-664942.626926084,124360.71956339234,-540581.9073626917,300.9912184150124,485.29150410561965,210
710000,-665179.2484373227,123665.06331031956,-541514.1851270031,299.3075161660586,484.97453550089074,210
715000,-664600.0690580588,124456.37857094302,-540143.6904871158,301.22274265623696,485.30015579797316,210
720000,-665468.7879665815,124371.97799585061,-541096.8099707309,301.0184672868021,483.77712194722375,210
725000,-664911.9526113444,123690.81455614709,-541221.1380551973,299.3698421069549,483.45572780366234,210
730000,-663886.3177206311,123940.38722625282,-539945.9304943783,299.97388478475494,484.0700245613159,210
735000,-664847.3899298892,124235.2419419671,-540612.1479879222,300.6875239503197,486.18824176567057,210
740000,-664053.0767685613,124560.91263503065,-539492.1641335306,301.47574726594064,484.4036025684643,210
745000,-664966.9511964507,123155.11842679066,-541811.83276966,298.0732925916314,483.0482483664454,210
750000,-665486.0062514297,123769.6668474793,-541716.3394039504,299.56068892197993,486.4335114139732,210
755000,-663549.7049125,124451.22103369371,-539098.4838788062,301.2102598286516,485.7287522932475,210
760000,-663632.379089776,124075.43759573973,-539556.9414940362,300.30074824615957,487.28023364060385,210
765000,-665960.3202804299,123630.30980021972,-542330.0104802102,299.22340197481014,485.4869323580735,210
770000,-663191.0682856794,124390.67498278373,-538800.3933028957,301.06371974993874,486.49930675599364,210
775000,-664072.3552498422,123645.51057105651,-540426.8446787857,299.2601925188909,486.08092621516226,210
780000,-664196.6119120619,123503.97029860562,-540692.6416134563,298.9176214947817,486.1924460918761,210
785000,-663887.6119895112,123882.85483988572,-540004.7571496255,299.83463870181373,486.19243446980175,210
790000,-663355.1921126228,123595.13879981003,-539760.0533128127,299.13827732851223,486.7813647103559,210
795000,-663992.4986200286,123695.45390588793,-540297.0447141407,299.3810707612764,485.1612168064186,210
800000,-664888.8421392008,124559.25118476892,-540329.5909544318,301.4717260449283,485.25933087974914,210
805000,-664712.378555309,123177.0531328907,-541535.3254224183,298.1263813316918,483.17013337869844,210
810000,-663995.0114546232,124391.72653945006,-539603.2849151732,301.0662648407306,483.37282327422935,210
815000,-664341.2430679263,124610.8779274539,-539730.3651404723,301.59667865245666,483.41263495373175,210
820000,-663875.798700491,123223.81474269275,-540651.9839577982,298.23955882020084,484.66860503949675,210
825000,-664300.803412585,124936.34408436151,-539364.4593282235,302.3844069276259,483.7748270987701,210
830000,-664887.0987841147,123184.19109944603,-541702.9076846687,298.1436574077553,484.51206600224003,210
835000,-663792.5595111963,124674.56078353664,-539117.9987276597,301.7508107651671,484.03406016700706,210
840000,-664606.08465329,123279.16560223041,-541326.9190510595,298.3735249367612,484.9616629879862,210
845000,-664023.2091928646,124025.84457269043,-539997.3646201742,300.1807178661095,485.27920515209365,210
850000,-665187.7302873293,124188.66623483947,-540999.0640524898,300.57479640350186,485.38819886078886,210
855000,-664360.7447213768,123707.51949220989,-540653.2252291669,299.4102731938507,484.63937595447044,210
860000,-664327.771837519,123146.3684445147,-541181.4033930043,298.05211494136046,484.4490287654039,210
865000,-663302.5707334108,123021.81023202438,-540280.7605013864,297.75064572927585,484.926418438836,210
870000,-664166.498831023,124367.75310927333,-539798.7457217497,301.0082417609043,485.5724505788974,210
875000,-665041.6906674043,123540.80550933054,-541500.8851580737,299.00677404227093,485.8807075297466,210
