#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
2505000,-593623.634185514,109033.80918795773,-484589.8249975562,297.03061213184515,430.7317598619202,0
2510000,-593376.5843944675,110500.99273771726,-482875.5916567503,301.02752310047504,431.2989149857648,120
2515000,-593542.0964452508,109772.61497727432,-483769.48146797647,299.0432716682002,433.28652484741855,120
2520000,-593021.9485620102,109674.89111295156,-483347.05744905863,298.7770516814286,432.3680523080125,120
2525000,-593159.40581025,109886.15835271038,-483273.2474575396,299.3525872700348,432.8631833097681,120
2530000,-593989.4494421817,110012.3001844564,-483977.14925772534,299.6962236684877,432.6685247245255,120
2535000,-593614.2784251524,110095.8433516369,-483518.4350735155,299.9238125078749,433.52316912360897,121
2540000,-594569.5645147245,110516.62706805853,-484052.937446666,301.07011424487445,431.5261899692633,121
2545000,-594458.5316672642,110573.99170797493,-483884.53995928925,301.226387370027,431.53110445352723,121
2550000,-595024.1493400172,110498.01718262467,-484526.13215739257,301.0194170739392,430.28277953071614,121
2555000,-594739.2178945113,110147.10568014067,-484592.11221437063,300.06346167658853,429.3449262119259,121
2560000,-591571.4576215022,110613.73123129073,-480957.7263902115,301.3346460379047,433.3074655865358,121
2565000,-593931.0923954444,110352.83368886285,-483578.25870658155,300.62390725597834,430.17971036970823,121
2570000,-593276.478295756,110085.22385385665,-483191.25444189936,299.8948828029541,432.814641085074,121
2575000,-594019.5841722288,109962.28131133188,-484057.3028608969,299.5599619290055,432.61066644497595,121
2580000,-594568.9964186675,109716.96003305202,-484852.0363856155,298.89165610717714,432.21072362940134,121
2585000,-593615.5859752959,110976.35755403701,-482639.22842125886,302.32251502480557,430.8507765723472,121
2590000,-594261.3035153612,110216.11371551151,-484045.18979984964,300.25145381536527,433.2930003505219,121
2595000,-593708.7747907178,110201.15593133558,-483507.6188593822,300.2107057224297,432.544422293769,121
2600000,-594204.8877976122,110317.8639468527,-483887.02385075955,300.5286424573555,431.1788749125007,121
2605000,-594499.374564595,109728.49309889495,-484770.8814657001,298.92307456015607,429.61810619047276,121
2610000,-592028.4251216701,109898.40024826472,-482130.0248734054,299.38593672152365,434.5605050363665,121
2615000,-594471.0315051088,109913.8371285086,-484557.1943766002,299.42798997108355,431.83057049260526,121
2620000,-593612.571467869,110151.10252538935,-483461.46894247964,300.07434990841,430.2571765740451,121
2625000,-592916.8369617295,110350.4200522975,-482566.4169094319,300.617332011549,433.099490108984,121
2630000,-593840.029694024,109384.94160080753,-484455.0880932165,297.9871693346511,432.6188583015913,121
2635000,-594170.7007270767,109298.10909163451,-484872.5916354422,297.7506196484144,431.39364123626854,121
2640000,-593325.0094966278,109978.42671851141,-483346.58277811646,299.6039453522516,432.02123302933137,121
2645000,-593799.5107028466,110553.23806210357,-483246.272640743,301.16985015296524,432.1335491744465,121
2650000,-593356.9502601377,110218.5367203672,-483138.41353977047,300.25805458095203,431.5058815591199,121
2655000,-594126.4929729104,110300.02807027253,-483826.4649026379,300.48005384637355,430.75281050460484,121
2660000,-594070.0238087932,110628.49165336811,-483441.53215542505,301.3748564757278,431.9816011763306,121
2665000,-592893.3194343629,110199.57134007226,-482693.74809429067,300.2063889686042,430.0716403398905,121
2670000,-593907.0399136716,109568.27482890508,-484338.7650847665,298.4866069070104,430.5595521079993,121
2675000,-594705.7879620371,110889.4106874459,-483816.37727459124,302.0856538053467,429.63094916852725,121
2680000,-593395.1035206979,110359.33993106033,-483035.7635896376,300.64163160328843,431.819781042316,121
2685000,-593474.8687776909,109457.99213384179,-484016.87664384913,298.1861740718544,433.43404328058244,121
2690000,-594246.0224729846,110268.72558538202,-483977.2968876026,300.39477941344745,430.934836898226,121
2695000,-592612.9484559139,109577.00847258989,-483035.93998332403,298.51039915593907,431.7306678517703,121
