#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
5000,-873911.996447457,164766.8502297572,-709145.1462176999,300.47909978779734,760.5043912761342,0
10000,-882745.8153832499,164506.50573938742,-718239.3096438625,300.004319345057,735.4560464824665,241
15000,-885211.1962413881,164719.92733716854,-720491.2689042196,300.39352827565875,718.4416560079462,236
20000,-887302.168568762,164633.13845544495,-722669.0301133171,300.2352546604532,704.0316437290139,234
25000,-888668.9449241608,164961.75736974023,-723707.1875544207,300.83454459895114,689.8309980204049,236
30000,-890311.909615201,164312.32129062264,-725999.5883245782,299.65019247866206,675.159629807611,235
35000,-892597.3241040288,164618.75835638918,-727978.5657476396,300.20903021534724,667.3538929600411,234
40000,-895035.9577583773,164072.09925589152,-730963.8585024858,299.2121086004757,657.7100869418676,233
45000,-894947.1333774887,164311.6511007331,-730635.4822767556,299.6489702785993,653.2087711529031,233
50000,-896605.5529269148,164978.13407765905,-731627.4188492557,300.86441018445015,648.8849444513841,232
55000,-897169.285382498,164880.1241587384,-732289.1612237596,300.6856731862828,648.3112428428187,231
60000,-896354.3123070961,164878.78003636646,-731475.5322707297,300.6832219609316,649.8850148225478,231
65000,-895977.8563465597,163665.13652971608,-732312.7198168436,298.46994600261166,647.801642229376,231
70000,-895724.0886774436,164396.87388356507,-731327.2147938785,299.80438785823407,648.3414523075692,230
75000,-895526.823080848,164854.3128897412,-730672.5101911067,300.63860214704255,648.6127342658251,230
80000,-895847.2659581061,164002.7978879913,-731844.4680701148,299.0857263056653,649.6993243201865,230
85000,-894753.7611803655,164089.8623437829,-730663.8988365825,299.2445024749208,648.8529078581396,230
90000,-897133.7112859543,164481.3365067506,-732652.3747792037,299.95841916334865,649.2068868106236,230
95000,-896155.4808411663,164969.36044885457,-731186.1203923118,300.8484100480066,648.0126157604639,229
100000,-896391.1720968541,163304.3694146684,-733086.8026821857,297.8120286010749,649.4054761166758,229
105000,-897791.2141754869,164245.40108943632,-733545.8130860506,299.5281526279151,647.7851093514473,229
110000,-897468.8787899688,163201.6686083161,-734267.2101816527,297.6247370081532,646.383021358782,229
115000,-896318.8758446369,164835.05175839723,-731483.8240862397,300.603476347168,649.9909647840913,229
120000,-896791.6069278028,163769.42741153663,-733022.1795162661,298.660137356284,649.4155181156958,229
