#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
5000,-659484.4329795451,124241.01824605768,-535243.4147334874,297.3032740566175,579.8152383959786,0
10000,-664533.4085694379,125906.00559960707,-538627.4029698309,301.28751531977866,559.0479269736142,301
15000,-667758.4860906843,125049.74915712408,-542708.7369335602,299.2385314384803,539.6074915379676,291
20000,-669249.443614299,125024.31795005844,-544225.1256642404,299.1776756822207,524.8655561555676,293
25000,-670621.5360975848,125519.0904494808,-545102.445648104,300.36164443962514,514.9052969795763,289
30000,-673087.8737112302,125418.81201682115,-547669.0616944091,300.1216825754368,502.8997929709554,291
35000,-672642.2852534791,125463.0965725159,-547179.1886809632,300.2276535629904,499.58390251992967,288
40000,-674259.6605150262,125584.76701049431,-548674.8935045318,300.5188055519031,494.0993182025581,289
45000,-675260.3984548333,125189.48719750787,-550070.9112573254,299.57291840264764,493.26512437987117,287
50000,-675033.2061690493,125716.6604476723,-549316.545721377,300.8344207267718,492.49881727248464,288
55000,-675475.0157408174,125316.95698880975,-550158.0587520077,299.87794798814497,491.09450743469466,289
60000,-676174.6186677129,125637.88157326682,-550536.7370944461,300.6459063567361,490.7032982971533,287
65000,-675882.0165429511,125362.10405067791,-550519.9124922731,299.98598291491015,492.48968424978597,286
70000,-674544.7776625319,125453.63672457892,-549091.140937953,300.2050165643288,494.08148173520647,287
75000,-675266.5123602822,125004.65398259045,-550261.8583776918,299.130620675817,492.41469261698177,287
80000,-675142.0139856013,124521.48876989004,-550620.5252157112,297.9744276433226,492.8306680021633,287
85000,-676239.9825851293,125913.65065448266,-550326.3319306467,301.3058095987289,493.82204188799085,286
90000,-675651.0018816646,124414.73773447401,-551236.2641471906,297.71897712636644,491.9630155017634,286
95000,-675923.3872421919,125383.03506305104,-550540.3521791409,300.03606990385873,492.0180633246316,287
100000,-677644.3007848617,125323.46938070061,-552320.831404161,299.8935318545558,490.30083866916704,286
105000,-676646.1186234839,125467.23056784645,-551178.8880556375,300.2375460313881,490.06588543291025,286
110000,-674912.2553458461,124482.24129035335,-550430.0140554927,297.8805101567352,492.75624745729226,286
115000,-674585.8319618758,126115.79154097411,-548470.0404209017,301.78952381986954,492.66894288240155,286
120000,-674311.062960546,125942.72806259978,-548368.3348979462,301.37539055320224,491.38841199965873,286
125000,-676861.9609119906,124957.6343482621,-551904.3265637285,299.01810476578896,490.91480073118265,285
130000,-675263.8960110606,126514.90976065327,-548748.9862504073,302.7445961069564,491.82808531598306,286
135000,-674569.5645833258,125283.79985308257,-549285.7647302432,299.7986044255342,492.1423013358468,286
140000,-675688.4783201576,124893.20409330731,-550795.2742268504,298.86392600891156,491.62716809694746,286
145000,-674067.0723605128,125362.97258734767,-548704.0997731651,299.9880612848334,492.7460992772428,285
150000,-674830.0354276341,126165.42066713492,-548664.6147604992,301.90828412869894,493.3961220556921,286
155000,-674800.0214728005,125771.59878309054,-549028.42268971,300.9658857390652,492.82953383565064,286
160000,-673573.2757134591,125955.58759537555,-547617.6881180836,301.40616284765895,492.75316310014335,285
165000,-675335.1594436932,124636.62752842449,-550698.5319152687,298.2499496115611,492.5058858528914,285
170000,-677184.8114643022,125475.93810238334,-551708.8733619188,300.2583827772819,490.2617581432096,285
175000,-674632.0336121344,125291.33340610145,-549340.700206033,299.8166318854618,491.204655770142,286
180000,-675018.6096105604,126425.74153402483,-548592.8680765355,302.5312204755208,491.306102606737,285
185000,-676054.2880710163,125752.58203989035,-550301.706031126,300.9203795117731,489.928203539609,285
190000,-675631.3834401276,125973.33600844175,-549658.0474316858,301.4486340169104,491.7168579531514,285
195000,-675751.4917861009,125152.90354535001,-550598.5882407508,299.4853753374263,493.2130299518514,286
200000,-673793.6032900955,125829.01416191367,-547964.5891281818,301.1032782069176,493.8036844149071,285
205000,-675437.6989649166,125919.1174215267,-549518.5815433899,301.3188913310234,492.0087444831462,285
210000,-677337.8314041775,125100.50752749195,-552237.3238766855,299.35999397886496,491.9887501139502,285
215000,-676713.2444968903,126312.91671095532,-550400.327785935,302.2612356527388,491.5870473176031,285
220000,-675215.1034236634,125372.17421507122,-549842.9292085922,300.01008037391915,493.385798509825,285
225000,-673990.9468740346,125015.33651234373,-548975.6103616909,299.1561834981094,493.82747328874166,285
230000,-674687.3601200394,125205.07126212161,-549482.2888579178,299.6102103815623,493.346829291949,285
235000,-675163.7319300333,125482.4044992851,-549681.3274307481,300.2738565797135,492.79765575385505,285
240000,-675913.727805486,125334.91190953902,-550578.8158959469,299.92091332112113,490.4992731061788,285
245000,-675619.6981327031,125056.46941953746,-550563.2287131656,299.2546127298785,491.33041354665363,285
250000,-674890.808451944,126022.52915296739,-548868.2792989766,301.5663510409261,492.4077224819502,285
255000,-675031.806783678,125642.3157862902,-549389.4909973878,300.6565172328246,491.87926831268896,285
260000,-675134.5639441223,126131.66661421413,-549002.8973299081,301.8275121695851,490.9744744852824,285
265000,-676884.9559722147,125924.02166799031,-550960.9343042243,301.3306269763924,490.54006542842137,285
270000,-674612.50983008,125073.7004334507,-549538.8093966292,299.29584578578897,491.99955546120054,285
275000,-675184.2165530431,125764.42999931879,-549419.7865537243,300.9487311558492,492.00608910824747,285
280000,-674386.8404648285,125372.90758130574,-549013.9328835228,300.0118352869557,491.34662458114923,285
285000,-676435.7085555396,125724.21540567058,-550711.493149869,300.8524994078705,491.5171154842881,285
290000,-676162.2408982534,124830.25870734706,-551331.9821909063,298.71330047801257,492.72057907988284,285
295000,-675445.845759423,125410.69963554476,-550035.1461238782,300.102270005032,491.7979520479609,285
300000,-674960.3020251337,126297.11619884765,-548663.1858262861,302.2234257245226,493.31770009527366,285
305000,-676090.5270228586,125405.80556994068,-550684.7214529179,300.0905587220106,490.2669211764124,285
310000,-674008.1533460254,125861.942344638,-548146.2110013873,301.1820738950959,492.16665876060176,285
315000,-674410.5810435112,125907.8251035593,-548502.7559399519,301.29186931244385,492.7447844221314,285
320000,-674930.0840784195,125831.80443510559,-549098.279643314,301.1099552075344,492.40384724615825,285
325000,-674583.5736876442,125361.33274271211,-549222.2409449321,299.98413720898486,492.70804397397643,285
330000,-675296.458553032,124960.24537699751,-550336.2131760345,299.02435284233127,493.29394333577295,285
335000,-674326.342622716,124768.42766213324,-549557.9149605827,298.5653415153453,494.1477258574144,285
340000,-673591.3390080812,125222.41240499454,-548368.9266030868,299.65170697121357,493.5778400154855,285
345000,-674561.8333255528,124752.42689167918,-549809.4064338736,298.5270523777434,492.7444388566907,285
350000,-676248.0304972092,125839.4006539326,-550408.6298432766,301.1281326239755,492.07193127843817,285
355000,-675085.2247380307,125209.84443760978,-549875.3803004209,299.6216323798711,492.68517514362657,285
360000,-675308.8790570991,124940.04894325972,-550368.8301138394,298.97602366764096,493.34395469039106,285
365000,-675139.3005871829,125385.96785828046,-549753.3327289023,300.043087953422,492.14441557738985,285
370000,-675372.2412341461,124921.80933372036,-550450.4319004257,298.9323770869052,491.85143690397786,285
375000,-676660.4627557364,126566.62271173269,-550093.8400440037,302.8683429168593,491.10247735117196,285
380000,-676545.0779973338,125694.95583375602,-550850.1221635778,300.7824825434686,490.07197074657506,285
385000,-676483.9010595772,123928.67043180557,-552555.2306277717,296.5558395206443,491.03655628971194,285
390000,-674743.5720895743,125925.51892321382,-548818.0531663605,301.33420984207015,492.06565028667444,285
395000,-675932.0281862128,125134.67866911623,-550797.3495170965,299.4417640128407,491.6950316235521,285
400000,-675586.4828117858,125816.63391648978,-549769.848895296,301.0736528259435,493.2143915048534,285
405000,-675332.5745183676,125122.2585153146,-550210.316003053,299.4120431328798,493.9601894305851,285
410000,-675752.6368194739,125752.25027188763,-550000.3865475863,300.91958560558305,493.34277638956644,285
415000,-674882.2181145153,125250.6936992525,-549631.5244152627,299.7193828603535,493.178694648006,285
420000,-675985.6410499187,124515.87338070158,-551469.7676692172,297.960990264795,493.0387295948715,285
425000,-675297.7463979376,124933.22525047744,-550364.5211474602,298.95969487193423,492.6062128409878,285
430000,-676485.4767443761,125481.78368380805,-551003.6930605681,300.27237099567276,491.21321355937533,285
435000,-675368.7394122225,125518.72335933086,-549850.0160528916,300.3607660090956,492.11589341139387,285
440000,-674307.5812591594,124545.81644217906,-549761.7648169803,298.03264268955945,493.5410349492013,285
445000,-675073.4427780462,124450.69821944315,-550622.744558603,297.80502898000475,494.4372261602062,285
450000,-676006.5395838516,126300.12954561313,-549706.4100382384,302.23063653035706,491.50490687319177,285
455000,-676121.7666642684,125233.85439785488,-550887.9122664136,299.679087155207,493.9689936070366,285
460000,-672463.3283930854,124784.59331027011,-547678.7350828153,298.6040251979663,493.4275578850696,285
465000,-674978.5090614026,124912.07217703038,-550066.4368843723,298.9090765006351,492.1129255776672,285
470000,-674379.7332149777,125089.021155069,-549290.7120599087,299.33250759653663,492.53254744017516,285
475000,-674843.7309337198,125817.46749924711,-549026.2634344727,301.07564755269675,490.6113677812678,285
480000,-675536.4785110066,125069.04503451486,-550467.4334764917,299.28470562157264,493.2150440073309,285
485000,-675300.8333173618,125771.06736685534,-549529.7659505064,300.9646140834651,493.9588504363046,285
490000,-674587.8226577309,125497.62995327078,-549090.1927044601,300.31029041922034,492.4055742752045,285
495000,-676217.6015625047,125767.63011649525,-550449.9714460094,300.9563888950351,492.514642361466,285
500000,-675081.1866875608,125653.04572582815,-549428.1409617326,300.68219350463966,492.16162180064094,285
505000,-674529.8276349376,124862.24181084216,-549667.5858240954,298.78983463330053,491.4991738899312,285
510000,-675829.909099259,124354.24266988106,-551475.6664293779,297.57421510636965,491.3739343422408,285
515000,-677260.6690690154,126134.11299572309,-551126.5560732924,301.83336625258016,492.84504648931016,285
520000,-674480.4678455573,125541.95731260674,-548938.5105329505,300.41636383399845,491.0265132070663,285
525000,-675043.1089619026,126354.45735961472,-548688.6516022878,302.36064059184196,492.96780012369106,285
530000,-674782.6407128256,124157.19829430676,-550625.4424185188,297.1026966109509,493.0766858777239,285
535000,-674150.0469780876,124907.31723817089,-549242.7297399167,298.897698141774,492.48508032268984,285
540000,-675308.4165742262,123944.16805408234,-551364.2485201439,296.59292464686126,491.749562890222,285
545000,-677249.8212134899,125290.63233293453,-551959.1888805553,299.81495424831087,490.63534613321184,285
550000,-674501.5224780808,123951.60843064339,-550549.9140474375,296.61072913963704,491.9599065299179,285
555000,-675715.0889911475,125089.78214871639,-550625.3068424311,299.3343286207531,491.4598001579967,285
560000,-675281.7406839654,125602.24293577264,-549679.4977481927,300.5606246699026,491.9647057798387,285
565000,-675422.9045341052,125189.2428871527,-550233.6616469525,299.5723337787488,491.67598114979114,285
570000,-676479.095418572,126307.81172646012,-550171.2836921118,302.2490196501185,491.4588319356883,285
575000,-674719.4745159657,124740.92366334185,-549978.5508526238,298.49952565995574,492.1181433822062,285
580000,-675074.5667820438,125553.00130875624,-549521.5654732876,300.4427916294259,492.2930735956565,285
585000,-674568.1668706168,124467.06875613215,-550101.0981144847,297.84420295188954,492.42913351092204,285
590000,-674989.1734782504,124727.430736674,-550261.7427415764,298.46723768186615,491.597751306128,285
595000,-675811.5932518365,125445.32842888345,-550366.264822953,300.18513517936464,491.04524958234543,285
600000,-675717.0464122025,125262.33336773195,-550454.7130444706,299.7472360733803,488.8067620727399,285
605000,-676079.5077943527,125127.03408714256,-550952.4737072102,299.4234708655238,490.19485972259804,285
610000,-673566.4515180518,125765.4632467537,-547800.9882712981,300.95120367136496,492.3860888041667,285
615000,-674892.148341414,124999.04199581905,-549893.106345595,299.1171914391232,491.4132041961386,285
620000,-675273.3134895512,124707.71798674512,-550565.5955028061,298.42006594118624,492.93680275801796,285
625000,-675045.3368887729,124746.02653642168,-550299.3103523513,298.51173661005214,492.51686231452055,285
630000,-674912.6336485511,125128.18591038417,-549784.4477381669,299.4262271277124,493.49510080491984,285
635000,-674057.0227782796,125517.39873913367,-548539.6240391459,300.35759625141753,491.99760067146735,285
640000,-676153.9636528781,125019.11093131921,-551134.8527215589,299.1652155161572,491.02714367794937,285
645000,-675297.3385007847,125236.22652845907,-550061.1119723256,299.6847635590636,491.94994085088666,285
650000,-676125.907880309,125119.32500096355,-551006.5828793455,299.40502336249017,490.2847823857426,285
655000,-674113.9332641405,124956.54950245575,-549157.3837616848,299.01550877764726,491.37029545458853,285
660000,-675935.8658418469,125397.63805272919,-550538.2277891177,300.0710142137462,492.5881364882737,285
665000,-675143.5244274265,125979.72551385267,-549163.7989135738,301.46392382139754,492.942722551128,285
