#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
5000,-627114.5166671299,120130.8797597411,-506983.6369073888,302.1355434235715,549.2363647487173,0
10000,-631263.3952635652,119895.19396471628,-511368.20129884896,301.5427811304837,535.7397267589835,121
15000,-631878.7813480282,118542.75563023007,-513336.02571779815,298.1413268836315,522.7016423018661,117
20000,-634546.2292547468,119705.63138316025,-514840.59787158656,301.0660211691336,507.9168035546445,117
25000,-635683.7708125771,118996.45197629766,-516687.31883627945,299.2823972923605,499.00090502366993,116
30000,-636698.1851610066,120006.0655899462,-516692.1195710604,301.8216291569536,490.3311448724085,115
35000,-638963.7657939834,120498.261829747,-518465.50396423636,303.0595288433679,478.29492846130796,114
40000,-640068.9020974576,119263.28851639328,-520805.6135810643,299.95350536389293,470.1007879476751,113
45000,-641491.0521242395,120263.47927325964,-521227.57285097986,302.4690382431778,467.478214944714,112
50000,-640883.2369155763,119375.14445037709,-521508.0924651992,300.234828979161,466.66505711534467,111
55000,-642312.9247384248,119182.02524532798,-523130.89949309686,299.74912392081353,464.77766146816407,110
60000,-641947.0121797449,118759.41612732183,-523187.59605242306,298.68623954187694,466.5119733376716,109
65000,-642689.472867257,119034.85275146284,-523654.6201157941,299.3789772815824,464.2525829280968,109
70000,-642810.7507873038,118955.37106357963,-523855.37972372415,299.17907661483594,466.17807218722345,109
75000,-641836.5022297981,119009.627654307,-522826.8745754911,299.3155348223885,468.0484435872867,108
80000,-642462.867759157,118828.71777002409,-523634.1499891329,298.8605368542738,466.8322748209407,108
85000,-639893.8302270821,119337.27948822622,-520556.5507388559,300.1395965881302,467.5489543071974,108
90000,-640579.1547837267,118914.48738675902,-521664.66739696765,299.0762519960697,468.4014071982395,108
95000,-641796.0510672498,119330.99028421869,-522465.06078303116,300.1237789059962,467.29109640547694,108
100000,-641152.5914200768,119704.16393576935,-521448.42748430744,301.0623304610011,468.2229172272985,107
105000,-642186.7287704498,118530.95008674124,-523655.7786837085,298.1116353146982,467.78917906114566,107
110000,-640631.9012204967,119604.92774515369,-521026.9734753431,300.81274617060956,467.5008337202583,107
115000,-641687.3365097251,118866.69425542225,-522820.64225430286,298.95604973219525,468.1109127779357,107
120000,-641999.6387584833,119206.08376552945,-522793.5549929539,299.8096323770038,465.97128826869624,107
125000,-641574.4959324119,119863.49589380634,-521711.00003860553,301.46305879848205,466.4024772381325,107
130000,-641699.4360711863,118681.42929417995,-523018.0067770064,298.49009851420504,466.2622577462174,107
135000,-641846.979330115,119759.23602231138,-522087.74330780364,301.20083968384307,467.1521196653864,107
140000,-641777.3456142591,119168.7037133436,-522608.64190091554,299.71561956029126,465.45707252971226,107
145000,-642130.6220535422,119086.66348286497,-523043.9585706772,299.5092840230186,467.3179073139468,107
150000,-641200.0471364623,118658.37651737686,-522541.67061908543,298.4321195560824,468.0792603536826,106
155000,-642081.0991819417,118914.257300067,-523166.8418818747,299.07567331581805,467.35878125193653,106
