#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
5000,-672011.26901678,127925.73720111826,-544085.5318156617,300.8237141468612,580.5456201269508,0
10000,-676431.2547682538,128489.75236191106,-547941.5024063427,302.15002376380784,565.6455518200331,119
15000,-679265.2603702857,126901.13070326718,-552364.1296670185,298.4143011626859,555.5060712327388,114
20000,-680197.8779296628,126871.70896048096,-553326.1689691818,298.34511447566524,539.2261447517986,115
25000,-681831.2448090948,127803.11362975289,-554028.1311793419,300.53535873858175,528.0441817805525,112
30000,-681238.4031218621,127541.80816088122,-553696.5949609808,299.9208859718602,518.8476636536366,112
35000,-683703.4381399709,127644.12822115305,-556059.3099188178,300.1614966670662,512.3886500853979,111
40000,-683296.2070482797,128099.97722693812,-555196.2298213416,301.23344820716034,506.3614258071611,110
45000,-685951.4701164984,127039.46933204419,-558912.0007844542,298.73961130769027,504.05049265615133,109
50000,-685441.5676300558,127556.57197843984,-557884.995651616,299.955603820904,502.5080296341,108
55000,-686592.0770530957,126749.61979000858,-559842.4572630872,298.05801573758356,500.1571607598151,107
60000,-686827.7499525198,127341.7202598622,-559486.0296926575,299.4503693513793,501.56828901837747,107
65000,-684864.2396718282,127921.32849376695,-556942.9111780613,300.8133468529216,503.05350572391984,106
70000,-687712.3704391243,127166.39988929726,-560545.970549827,299.0380948068439,501.92956931207226,106
75000,-686083.6713843765,127615.99091425224,-558467.6804701242,300.095330394718,501.5043574423817,105
80000,-686811.0037797973,128805.17593550181,-558005.8278442955,302.89175793718897,500.69683394196176,105
85000,-685808.6750923204,127197.06949633738,-558611.6055959831,299.1102159085322,503.1396866452351,105
90000,-685100.2540747537,128090.80050352897,-557009.4535712248,301.2118686870416,502.44157258385525,104
95000,-686819.4402140141,128079.57838266419,-558739.86183135,301.1854793133861,500.93334650435514,104
100000,-686496.3547619847,127843.63123335311,-558652.7235286315,300.63063789248787,501.0976686992911,104
105000,-686420.3555283863,127715.9875259602,-558704.3680024261,300.3304773854193,501.70402795250766,104
110000,-686781.8739949726,127364.41805578745,-559417.4559391851,299.5037443439537,501.5874000508892,104
115000,-686766.4338348149,128367.9084144648,-558398.5254203501,301.8635016798313,501.23716869795953,103
120000,-686812.0984625332,127237.45914946723,-559574.6393130659,299.205194180563,500.75812275598,103
125000,-687272.3363827509,126683.56975509773,-560588.7666276532,297.90269580544066,501.36560749104615,103
130000,-686449.1856916226,127736.60306619533,-558712.5826254273,300.378955850491,501.04755917677744,103
