#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
5000,-776846.5250114007,148635.00667776002,-628211.5183336406,301.46684252559925,685.2565026849501,0
10000,-782568.4124406958,148429.237440489,-634139.1750002068,301.0494939908528,664.4150023999964,195
15000,-784780.8335189447,148263.9856431107,-636516.847875834,300.7143243784524,650.4839581775635,190
20000,-784065.8807622958,147708.13828946988,-636357.7424728259,299.5869348732896,636.2845902783802,186
25000,-788120.2319303984,148040.94799529447,-640079.2839351039,300.2619514351304,621.2521801242555,183
30000,-788797.6707649305,148953.00961015857,-639844.6611547719,302.11182745941034,608.9696873979104,185
35000,-791212.166200615,147894.41041300527,-643317.7557876097,299.96473866384946,598.154929970981,182
40000,-792194.2150596711,147545.78889943613,-644648.426160235,299.25765202738813,590.7435445917238,182
45000,-791439.4218565794,148510.4531075211,-642928.9687490582,301.21421851471183,586.6729257890108,183
50000,-793805.257214326,147585.92866285914,-646219.3285514668,299.3390649327954,583.8581471959848,181
55000,-792961.0612563761,148515.05932623518,-644446.0019301409,301.2235610124366,582.5161584006014,182
60000,-793148.129086433,148377.5439107914,-644770.5851756416,300.9446473229966,580.5355812798377,182
65000,-793705.5776547743,148559.05764943408,-645146.5200053402,301.31279998693975,580.6188847621436,182
70000,-793610.9597172383,147694.98791982443,-645915.9717974139,299.56026282271637,580.1083405566998,182
75000,-795040.8500883151,148495.14492272303,-646545.705165592,301.18316990618393,579.9740825484783,182
80000,-795512.9153766236,149300.66934129747,-646212.2460353262,302.8169633743094,579.5499771344997,181
85000,-793129.1160253431,147015.02889677713,-646114.0871285659,298.18114558575706,581.4831355095251,182
90000,-794118.998023767,146778.5972817801,-647340.4007419869,297.70160651861846,581.1980783135683,182
95000,-794510.9743470214,147887.63711644383,-646623.3372305776,299.9510008212409,581.1638170498904,182
100000,-793871.5399188343,147911.113012205,-645960.4269066293,299.9986154735947,581.4189060183603,182
105000,-793341.0306656533,148734.1249814179,-644606.9056842354,301.6678778180793,580.5504477227902,182
110000,-793283.1087752222,149952.29743106687,-643330.8113441553,304.1386187979853,580.7653090344793,182
115000,-794104.2537396704,149087.3047000938,-645016.9490395766,302.38420956934795,579.7625537719431,182
120000,-795145.1851031329,148401.76781025785,-646743.417292875,300.99377910324836,578.983061994308,182
125000,-793994.6752432669,148001.7236980833,-645992.9515451835,300.182395311073,579.8873886417874,182
130000,-795657.6414864948,148153.23651907124,-647504.4049674235,300.4896990396246,578.5017380873202,182
135000,-793367.8779848246,147742.62141055503,-645625.2565742696,299.6568747741671,579.5932424662154,182
140000,-795054.1886078268,147327.0893242493,-647727.0992835775,298.81407771830095,578.8323355301435,182
145000,-793765.8595744958,146906.37944750086,-646859.4801269949,297.9607788824644,581.0298483461063,182
150000,-793981.9335006773,147822.74182161217,-646159.1916790651,299.8193778606413,580.4896043761944,182
155000,-793575.5958955749,149670.44283226956,-643905.1530633053,303.5669512087009,580.2386546296065,182
160000,-793601.4822976743,147884.41180689604,-645717.0704907782,299.94445913293157,580.708850801142,182
165000,-793765.9364112611,147248.60822712013,-646517.328184141,298.65489954703224,580.9425841587826,182
170000,-792988.7483800538,147900.27896231937,-645088.4694177344,299.97664146569593,580.668638919832,182
175000,-795959.1787185976,146054.7159133798,-649904.4628052178,296.23340440814354,580.2261576086656,182
180000,-792675.2622217825,148131.16276274284,-644544.0994590396,300.4449282566729,581.120243833114,182
185000,-795073.7824736298,147325.13065474248,-647748.6518188873,298.8101050746756,580.3236826700349,182
190000,-793310.253565562,147505.82893757353,-645804.4246279884,299.17660380194366,578.5599279985055,182
195000,-794730.7073380775,147786.5201533197,-646944.1871847578,299.74591177606794,579.9956035058614,182
200000,-793298.092664957,148756.00149927658,-644542.0911656804,301.7122485549045,581.2973106199553,182
205000,-794722.1285347086,148277.8281232511,-646444.3004114575,300.7424001923129,580.233729703529,182
210000,-794370.3062328771,148323.88633052655,-646046.4199023505,300.8358170974558,579.9430071113601,182
215000,-792696.4719419042,147242.91942627664,-645453.5525156276,298.6433613174699,580.2950865476025,182
220000,-794525.5889861267,147730.03234995325,-646795.5566361735,299.6313411906943,579.6367562226493,182
225000,-793849.1626683879,148453.33300542802,-645395.8296629598,301.0983654784209,580.5305089051769,182
230000,-793418.4863504288,147763.06532683523,-645655.4210235935,299.6983398571755,579.7275144792497,182
235000,-793023.4927532258,147543.64463489107,-645479.8481183348,299.2533029532609,580.5184128764346,182
240000,-793932.8997980519,148213.10180517007,-645719.7979928819,300.61111995640925,580.3437088457757,182
245000,-795008.1905749193,148971.72881624394,-646036.4617586754,302.14979442344713,579.8474035679665,182
250000,-794561.2945393296,147531.6463131002,-647029.6482262294,299.2289675273963,580.0578458353948,182
255000,-793819.3759872643,147842.575346415,-645976.8006408494,299.8596049257998,580.9895420163496,182
260000,-793218.5511603183,147581.5700217454,-645636.9811385729,299.3302245808243,579.5671710282115,182
265000,-794378.8746493142,147579.82087860457,-646799.0537707097,299.3266769060767,579.7443400341682,181
270000,-795322.2216856303,148119.91510754672,-647202.3065780835,300.4221153596739,578.9024575080082,182
275000,-794347.8523919135,146859.16829793877,-647488.6840939748,297.86502353849386,580.4640991965678,181
280000,-795059.737814913,149008.6328777392,-646051.1049371739,302.2246445623479,581.9196253407234,181
285000,-794015.3968997756,147183.81645826215,-646831.5804415134,298.5234865615193,582.1991497896942,182
290000,-793113.6913477043,148080.351525278,-645033.3398224262,300.34187108551436,581.7370260449997,181
295000,-794597.3763899324,147386.82021882467,-647210.5561711077,298.9352260573857,580.3849816820391,181
300000,-793998.4838016159,148392.26033267938,-645606.2234689365,300.97449569680174,580.1047080837451,182
305000,-793724.7551065846,148171.46668659808,-645553.2884199866,300.5266741181467,580.4032921173741,181
310000,-794468.6578881689,148064.1632079339,-646404.494680235,300.30903736064283,580.229300624863,181
315000,-795162.3831620766,148639.91069617606,-646522.4724659005,301.4767890313425,578.7280593876412,182
320000,-794876.7596876756,147540.66001266503,-647336.0996750107,299.24724943559556,580.8936901831644,181
325000,-795352.3568845345,148117.27042002082,-647235.0864645137,300.4167513097389,581.7498370090663,181
330000,-794667.3851247351,147652.06806496478,-647015.3170597702,299.4732112363142,579.3664222992668,181
335000,-794773.8006289639,147613.4029560465,-647160.3976729173,299.39478927797455,581.3415406783331,181
340000,-793893.3483239803,147598.57015083413,-646294.7781731462,299.3647048513437,581.1072125263762,181
345000,-793397.254272176,148602.3590905103,-644794.8951816657,301.40062552016934,580.9701354293792,182
350000,-795771.0341215227,149280.6504773933,-646490.3836441294,302.77636039774933,579.1936208557244,182
355000,-794183.3977782531,147391.21600785758,-646792.1817703955,298.9441417540966,579.063800495976,182
360000,-794520.4064355148,147673.30036723375,-646847.106068281,299.51627535201374,580.569213752354,182
365000,-795355.5686441334,148446.25274924102,-646909.3158948924,301.0840050493088,580.5447109892376,182
370000,-794262.7876397013,147432.78002020065,-646830.0076195006,299.0284433721597,580.4361265028499,182
375000,-793545.0793860452,148132.1355173291,-645412.9438687161,300.4469012323549,579.713501256376,182
380000,-792583.5264280732,147489.0810360983,-645094.4453919749,299.14263510850117,579.947499855918,182
385000,-794005.3770801141,147410.81205712288,-646594.5650229913,298.9838871628669,581.1785410124853,182
390000,-794237.6045258483,148160.56012274796,-646077.0444031004,300.5045530348286,581.4469955203679,182
395000,-794142.2943716501,147158.8994073979,-646983.3949642521,298.4729489067837,580.7372546059007,182
400000,-793885.4406026257,148190.44459398824,-645694.9960086375,300.5651657894328,580.7151524986397,182
405000,-794030.1834477969,148767.25260081032,-645262.9308469866,301.73506844188887,579.848477542322,182
410000,-793446.0761838132,148597.86849303346,-644848.2076907797,301.3915175295778,580.8458296635662,182
415000,-794679.840432385,148928.0631626621,-645751.7772697229,302.06123018137276,580.4659051960094,182
420000,-793450.1875813943,147636.51509703667,-645813.6724843576,299.4416661498774,580.8289860069414,182
425000,-795512.8830730696,148659.94320598769,-646852.9398670819,301.5174196850207,580.0444954781756,182
430000,-794000.113445777,148368.8509577969,-645631.2624879801,300.92701596447586,579.3320761309486,182
435000,-794650.1071811505,147774.89283229542,-646875.2143488551,299.72232882724205,580.9167550232137,182
440000,-793028.5418807701,148076.00602353303,-644952.5358572371,300.3330573832814,581.2671424229311,182
445000,-794253.8687902656,148155.4711011834,-646098.3976890822,300.4942312990753,578.9179125308605,182
450000,-794480.9111370235,149341.81705487327,-645139.0940821501,302.9004206403069,578.9491048417482,182
455000,-794030.6156285363,147633.08855940448,-646397.5270691318,299.43471632356216,579.181366660558,182
460000,-794383.6273916932,147912.0528222284,-646471.5745694648,300.0005216299348,581.5571922147502,182
465000,-793079.1180928922,148928.81424248044,-644150.3038504118,302.0627535483533,579.1058349637417,183
