#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
5000,-651057.9943630225,123566.48860150282,-527491.5057615197,299.81707495537347,572.7675810926971,0
10000,-656767.8378290432,124110.84335329081,-532656.9944757523,301.13787682703196,553.0641483639015,122
15000,-658572.5706216525,124007.44895649928,-534565.1216651532,300.8870045560493,541.3202627514738,120
20000,-661041.4472507443,123043.12297866598,-537998.3242720783,298.54720031584094,528.9612056161144,118
25000,-661139.5085078268,123725.62251658476,-537413.885991242,300.20319149462324,517.7225512223666,118
30000,-662821.0224321806,122850.1609711831,-539970.8614609975,298.0790045670112,508.1144511076086,116
35000,-662722.890320064,124129.58258351928,-538593.3077365448,301.1833449896188,499.1190282035027,116
40000,-666171.9602356092,123975.757726465,-542196.2025091442,300.8101101488508,489.5979208964992,114
45000,-667068.5529020275,123082.51165011019,-543986.0412519174,298.64277150502363,486.5318206935019,113
50000,-668217.5914688446,122553.75676548015,-545663.8347033644,297.35982056361263,484.4498378433033,112
55000,-667318.382035757,123556.54204917711,-543761.8399865798,299.79294101535515,485.08354253296807,111
60000,-667701.308629896,124528.79623626353,-543172.5123936324,302.1519819639527,487.0622779869351,111
65000,-667960.544208142,123634.19777638488,-544326.3464317571,299.98136194766835,483.3319243938686,110
70000,-666782.4115694277,123837.26049949083,-542945.1510699368,300.47406569253593,485.003733296196,109
75000,-666190.3536485434,124052.56973585697,-542137.7839126864,300.9964839160266,485.6915462704577,109
80000,-666229.5203482322,124492.5513568417,-541736.9689913905,302.06403875335127,486.4988488784945,109
85000,-666241.7124600019,123068.50429681176,-543173.2081631902,298.60878459043755,485.6751033493257,109
90000,-667691.4092692081,124487.08566113224,-543204.3236080759,302.0507769950966,485.2679334987474,108
95000,-667491.4934161697,123549.74510086165,-543941.748315308,299.77644915590656,486.2377344727352,108
100000,-666335.2320020092,123803.34495879336,-542531.8870432158,300.3917743017023,487.7587973023973,108
105000,-668174.9092129353,123613.17735804769,-544561.7318548876,299.93035879615434,485.3811100008566,108
110000,-667998.9689258076,123938.80386230396,-544060.1650635037,300.7204466843755,485.5985839878954,108
115000,-665915.1146613257,122655.77217912453,-543259.3424822012,297.60734692181376,486.44664911607686,108
120000,-665901.0655662068,122905.35870383965,-542995.7068623672,298.2129342670177,487.4034022514571,107
125000,-668209.9224651703,122896.69045658517,-545313.2320085851,298.1919019582887,486.2106173907827,107
130000,-667376.5426068106,123453.79582392826,-543922.7467828824,299.5436414433962,485.1347137472588,107
135000,-667945.8342601843,123683.87001964194,-544261.9642405424,300.1018848082623,485.3546922799091,107
140000,-666974.5132180401,124025.70752250799,-542948.8056955321,300.93130645307303,487.2212043895071,107
145000,-666614.608206185,122694.7202460345,-543919.8879601506,297.7018490447458,485.38880836127305,107
150000,-667452.4970509014,123201.40924778441,-544251.087803117,298.9312601588436,486.5023812869422,107
155000,-666556.7613925459,123728.71239846846,-542828.0489940774,300.2106886676741,487.22148199694686,107
160000,-667106.4834334129,124073.79247123713,-543032.6909621757,301.04797796199523,485.1059440149806,107
165000,-668423.4499432505,123745.33560351399,-544678.1143397365,300.2510225864375,483.79543822231545,107
170000,-669010.2563003609,123234.35728469465,-545775.8990156662,299.01120403491996,485.85743305893794,107
175000,-666392.7282015663,124128.22845575551,-542264.4997458108,301.1800593850034,485.408430837428,107
180000,-667799.9514797148,124022.02752390475,-543777.92395581,300.92237744303526,484.8470785006202,106
185000,-668101.0802934128,124857.5460502851,-543243.5342431277,302.9496481333778,485.2044279944355,106
190000,-667083.0197195336,123559.14855968149,-543523.8711598521,299.79926535429286,484.23519937146364,106
195000,-668758.7615225692,123250.97298990039,-545507.7885326688,299.05151975635454,484.1237957403514,106
200000,-667869.9813586436,123335.28620118258,-544534.6951574611,299.2560941573334,482.4077617622894,106
205000,-667977.1156482622,123042.70860215122,-544934.407046111,298.5461948882691,485.27451404747256,106
210000,-669624.3296453147,123991.43060714111,-545632.8990381736,300.8481382363494,484.489205498598,106
