time(ns) rmsd
2.000000000000000000e+00 9.895000000000000462e-01
4.000000000000000000e+00 9.996666666666667034e-01
7.000000000000000000e+00 9.981666666666666465e-01
1.000000000000000000e+01 9.508333333333333082e-01
6.500000000000000000e+01 5.806666666666666643e-01
1.270000000000000000e+02 9.985000000000000542e-01
1.660000000000000000e+02 9.116666666666666252e-01
2.000000000000000000e+02 9.996666666666667034e-01
2.010000000000000000e+02 1.000000000000000000e+00
6.200000000000000000e+01 9.995000000000000551e-01
