time(ns) rmsd
2.000000000000000000e+00 9.998333333333333517e-01
4.000000000000000000e+00 9.995000000000000551e-01
7.000000000000000000e+00 9.993333333333332957e-01
1.000000000000000000e+01 9.831666666666666332e-01
6.500000000000000000e+01 9.268333333333332869e-01
1.270000000000000000e+02 9.979999999999999982e-01
1.660000000000000000e+02 9.214999999999999858e-01
2.000000000000000000e+02 9.958333333333333481e-01
2.010000000000000000e+02 1.000000000000000000e+00
6.200000000000000000e+01 9.995000000000000551e-01
