time(ns) rmsd
2.000000000000000000e+00 9.833333333333332815e-01
4.000000000000000000e+00 9.998333333333333517e-01
7.000000000000000000e+00 9.968333333333333490e-01
1.000000000000000000e+01 7.900000000000000355e-01
6.500000000000000000e+01 6.778333333333332877e-01
1.270000000000000000e+02 9.965000000000000524e-01
1.660000000000000000e+02 9.663333333333333774e-01
2.000000000000000000e+02 9.991666666666666474e-01
2.010000000000000000e+02 1.000000000000000000e+00
6.200000000000000000e+01 9.995000000000000551e-01
